,Player,Team,AGE,GP_x,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,year
19,Andrew Wiggins,MIN,21,81,29,52,35.1,20.7,16.0,45.9,2.3,30.0,7.0,76.1,1.3,2.3,3.6,2.0,2.2,1.0,0.6,2.0,30.4,1,0,-0.8,2016,0,False,0.36,G-F,55.8,1.3,2016
20,Brook Lopez,BKN,28,73,21,52,33.7,20.6,15.8,51.1,0.2,14.3,5.5,78.7,2.8,5.1,7.8,2.0,2.4,0.8,1.7,2.9,38.1,26,0,-1.7,2016,0,False,0.29,C,48.5,-6.8,2016
21,Eric Bledsoe,PHX,26,31,12,19,34.2,20.4,15.9,45.3,4.2,37.2,5.5,80.2,0.6,3.5,4.0,6.1,3.5,2.0,0.6,2.4,38.8,3,0,-1.6,2016,0,False,0.39,G,54.9,1.9,2016
22,John Wall,WAS,25,77,37,40,36.2,19.9,17.5,42.4,4.3,35.1,4.5,79.1,0.5,4.4,4.9,10.2,4.1,1.9,0.8,2.1,45.0,49,4,1.3,2016,0,False,0.48,G,56.2,2.6,2016
23,Gordon Hayward,UTA,26,80,38,42,36.2,19.7,15.0,43.3,5.1,34.9,6.0,82.4,0.8,4.2,5.0,3.7,2.5,1.2,0.3,2.3,33.3,4,0,1.2,2016,0,False,0.48,F,51.4,-3.1,2016
24,Kyrie Irving,CLE,24,53,37,16,31.5,19.6,16.6,44.8,4.9,32.1,3.6,88.5,0.8,2.1,3.0,4.7,2.3,1.1,0.3,2.0,32.1,1,0,3.9,2016,1,False,0.7,G,57.6,4.2,2016
25,Brandon Knight,PHX,24,52,16,36,36.0,19.6,17.2,41.5,6.8,34.2,3.5,85.2,0.7,3.2,3.9,5.1,3.4,1.2,0.4,2.4,33.1,4,1,-4.0,2016,0,False,0.31,G,62.6,9.1,2016
26,Danilo Gallinari,DEN,27,53,22,31,34.7,19.5,13.2,41.0,4.5,36.4,8.2,86.8,1.0,4.3,5.3,2.5,1.5,0.8,0.4,1.6,31.7,3,0,-1.9,2016,0,False,0.42,F,61.0,6.5,2016
27,Chris Paul,LAC,31,74,50,24,32.7,19.5,15.1,46.2,4.4,37.1,4.4,89.6,0.5,3.7,4.2,10.0,2.6,2.1,0.2,2.5,43.6,38,0,7.5,2016,7,True,0.68,G,62.2,8.5,2016
28,Chris Bosh,MIA,32,53,29,24,33.5,19.1,14.5,46.7,4.2,36.5,5.1,79.5,0.9,6.5,7.4,2.4,1.5,0.7,0.6,1.9,34.0,15,0,0.5,2016,1,False,0.55,F,52.7,-2.0,2016
29,Dwyane Wade,MIA,34,74,43,31,30.5,19.0,16.0,45.6,0.6,15.9,5.5,79.3,1.1,3.0,4.1,4.6,2.7,1.1,0.6,1.6,33.1,2,0,-0.1,2016,8,False,0.58,G,55.9,0.9,2016
30,Reggie Jackson,DET,26,79,43,36,30.7,18.8,15.7,43.4,4.2,35.3,4.3,86.4,0.7,2.5,3.2,6.2,2.8,0.7,0.1,2.4,31.9,9,0,1.7,2016,0,False,0.54,G,63.2,9.5,2016
31,Karl-Anthony Towns,MIN,20,82,29,53,32.0,18.3,14.1,54.2,1.1,34.1,3.4,81.1,2.8,7.7,10.5,2.0,2.2,0.7,1.7,3.0,38.8,52,0,-1.6,2016,0,False,0.35,C-F,52.4,-2.6,2016
32,Dirk Nowitzki,DAL,38,75,38,37,31.5,18.3,14.8,44.8,4.6,36.8,3.7,89.3,0.7,5.8,6.5,1.8,1.1,0.7,0.7,2.1,31.8,10,0,3.4,2016,12,False,0.51,F,52.2,-2.2,2016
33,Nikola Vucevic,ORL,25,65,28,37,31.3,18.2,16.1,51.0,0.1,22.2,2.3,75.3,2.7,6.2,8.9,2.8,1.9,0.8,1.1,2.7,36.7,29,0,-0.7,2016,0,False,0.43,C,51.8,-3.4,2016
34,Khris Middleton,MIL,24,79,33,46,36.1,18.2,14.5,44.4,4.6,39.6,3.9,88.8,0.6,3.3,3.8,4.2,2.3,1.7,0.2,2.6,32.4,1,0,-0.4,2016,0,False,0.42,G-F,61.1,6.1,2016
35,LaMarcus Aldridge,SAS,30,74,61,13,30.6,18.0,14.1,51.3,0.2,0.0,4.1,85.8,2.4,6.2,8.5,1.5,1.3,0.5,1.1,2.0,34.0,26,0,6.9,2016,3,True,0.82,F,51.0,-3.8,2016
36,Kobe Bryant,LAL,37,66,13,53,28.2,17.6,16.9,35.8,7.1,28.5,4.3,82.6,0.6,3.1,3.7,2.8,2.0,0.9,0.2,1.7,27.7,2,0,-8.6,2016,15,False,0.2,F-G,62.0,6.3,2016
37,Jahlil Okafor,PHI,20,53,6,47,30.0,17.5,14.7,50.8,0.1,16.7,3.7,68.6,2.3,4.7,7.0,1.2,2.3,0.4,1.2,2.6,30.2,11,0,-9.3,2016,0,False,0.11,C,51.0,-4.1,2016
38,Bradley Beal,WAS,23,55,28,27,31.1,17.4,14.5,44.9,4.9,38.7,3.2,76.7,0.7,2.7,3.4,2.9,2.0,1.0,0.2,2.1,27.4,0,0,-0.4,2016,0,False,0.51,G,61.9,7.6,2016
39,Rudy Gay,SAC,29,70,29,41,34.0,17.2,14.4,46.3,3.1,34.4,3.6,78.0,1.5,5.0,6.5,1.7,2.0,1.4,0.7,2.6,32.1,7,0,-1.2,2016,0,False,0.41,F,57.4,2.5,2016
40,Paul Millsap,ATL,31,81,48,33,32.7,17.1,13.2,47.0,2.9,31.9,5.0,75.7,2.4,6.6,9.0,3.3,2.4,1.8,1.7,2.9,41.1,32,0,2.7,2016,0,False,0.59,F,52.3,-3.0,2016
41,Ryan Anderson,NOP,28,66,24,42,30.4,17.0,14.1,42.7,5.4,36.6,3.5,87.3,2.0,4.0,6.0,1.1,1.4,0.6,0.4,1.7,27.4,8,0,0.5,2016,0,False,0.36,F,55.2,0.9,2016
42,Giannis Antetokounmpo,MIL,21,80,32,48,35.3,16.9,12.7,50.6,1.4,25.7,5.1,72.4,1.4,6.2,7.7,4.3,2.6,1.2,1.4,3.2,37.7,21,5,-2.1,2016,0,False,0.4,F,50.0,-5.0,2016
43,Jrue Holiday,NOP,26,65,27,38,28.2,16.8,14.4,43.9,4.0,33.6,3.3,84.3,0.4,2.6,3.0,6.0,2.6,1.4,0.3,2.3,31.9,5,0,0.4,2016,0,False,0.42,G,66.0,11.9,2016
44,Marc Gasol,MEM,31,52,30,22,34.4,16.6,13.6,46.4,0.1,66.7,4.7,82.9,1.1,5.8,7.0,3.8,2.3,1.0,1.3,2.7,35.2,9,1,0.2,2016,2,False,0.58,C,47.5,-7.5,2016
45,Pau Gasol,CHI,35,72,36,36,31.8,16.5,13.8,46.9,1.0,34.8,4.0,79.2,2.2,8.9,11.0,4.1,2.3,0.6,2.0,2.1,41.4,46,2,0.0,2016,4,False,0.5,C-F,46.2,-9.6,2016
46,Derrick Favors,UTA,24,62,30,32,32.0,16.4,13.1,51.5,0.1,0.0,4.1,70.9,2.7,5.4,8.1,1.5,1.7,1.2,1.5,2.4,34.7,19,0,1.6,2016,0,False,0.48,F-C,47.0,-8.4,2016
47,Derrick Rose,CHI,27,66,32,34,31.8,16.4,15.9,42.7,2.3,29.3,2.7,79.3,0.7,2.7,3.4,4.7,2.7,0.7,0.2,1.3,27.5,1,0,-2.5,2016,1,False,0.48,G,60.0,6.4,2016
48,JJ Redick,LAC,32,75,50,25,28.0,16.3,11.7,48.0,5.6,47.5,2.7,88.8,0.1,1.7,1.9,1.4,1.0,0.6,0.1,1.8,21.5,0,0,6.8,2016,0,False,0.67,G,54.5,0.3,2016
49,Andre Drummond,DET,22,81,43,38,32.9,16.2,13.1,52.1,0.1,33.3,7.2,35.5,4.9,9.9,14.8,0.8,1.9,1.5,1.4,3.0,41.9,66,0,1.6,2016,0,True,0.53,C,53.4,-2.0,2016
50,Kevin Love,CLE,27,77,53,24,31.5,16.0,12.7,41.9,5.7,36.0,4.1,82.2,1.9,8.0,9.9,2.4,1.8,0.8,0.5,2.1,33.5,35,0,5.6,2016,2,False,0.69,F,57.6,2.8,2016
51,Victor Oladipo,ORL,24,72,32,40,33.0,16.0,13.5,43.8,3.9,34.8,3.4,83.0,0.7,4.1,4.8,3.9,2.1,1.6,0.8,2.4,32.6,3,1,-0.3,2016,0,False,0.44,G,54.6,0.1,2016
52,Jeff Teague,ATL,28,79,47,32,28.5,15.7,12.5,43.9,3.5,40.1,3.9,83.7,0.4,2.3,2.7,5.9,2.8,1.2,0.3,2.1,29.7,4,0,0.8,2016,0,False,0.59,G,54.5,0.6,2016
53,Jordan Clarkson,LAL,24,79,17,62,32.3,15.5,13.9,43.3,4.1,34.7,2.6,80.4,1.2,2.8,4.0,2.4,1.7,1.1,0.1,2.1,25.8,1,0,-7.9,2016,0,False,0.22,G,64.4,10.1,2016
54,Evan Fournier,ORL,23,79,33,46,32.5,15.4,11.8,46.2,4.9,40.0,3.0,83.6,0.4,2.4,2.8,2.7,1.7,1.2,0.0,2.7,24.9,0,0,-2.4,2016,0,False,0.42,G-F,59.7,5.1,2016
55,Lou Williams,LAL,29,67,14,53,28.5,15.3,10.3,40.8,4.8,34.4,6.3,83.0,0.5,2.1,2.5,2.5,1.6,0.9,0.3,1.6,24.1,0,0,-6.0,2016,0,False,0.21,G,61.7,7.4,2016
56,Greg Monroe,MIL,26,79,32,47,29.3,15.3,11.9,52.2,0.0,0.0,3.9,74.0,2.8,6.1,8.8,2.3,1.6,0.9,0.8,2.1,32.9,32,0,-1.4,2016,0,False,0.41,C-F,54.1,-1.1,2016
57,Mike Conley,MEM,28,56,33,23,31.4,15.3,12.4,42.2,3.8,36.3,4.1,83.4,0.5,2.5,2.9,6.1,1.5,1.2,0.3,1.8,30.9,4,0,1.2,2016,0,False,0.59,G,57.6,4.5,2016
58,Zach Randolph,MEM,34,68,37,31,29.7,15.3,13.3,47.5,0.4,23.1,3.2,79.6,2.6,5.1,7.8,2.1,1.5,0.6,0.2,2.1,28.7,17,1,-0.2,2016,1,False,0.54,F,60.6,5.5,2016
59,Eric Gordon,NOP,27,45,14,31,32.9,15.2,12.3,41.8,6.5,38.4,2.8,88.8,0.2,2.0,2.2,2.7,1.6,1.0,0.3,2.2,24.1,0,0,-1.6,2016,0,False,0.31,G,60.9,8.1,2016
60,Al Horford,ATL,30,82,48,34,32.1,15.2,12.8,50.5,3.1,34.4,1.6,79.8,1.8,5.5,7.3,3.2,1.3,0.8,1.5,2.0,34.4,17,0,2.8,2016,1,False,0.59,C-F,49.4,-5.3,2016
61,Avery Bradley,BOS,25,76,45,31,33.4,15.2,13.4,44.7,5.4,36.1,1.6,78.0,0.6,2.3,2.9,2.1,1.4,1.5,0.3,2.2,25.7,0,0,2.8,2016,0,False,0.59,G,57.1,3.1,2016
62,Tyreke Evans,NOP,26,25,11,14,30.6,15.2,12.6,43.3,3.4,38.8,3.7,79.6,0.8,4.4,5.2,6.6,2.9,1.3,0.3,2.6,33.1,6,0,-0.6,2016,0,False,0.44,G-F,61.9,7.4,2016
63,Thaddeus Young,BKN,28,73,21,52,33.0,15.1,13.2,51.4,0.4,23.3,2.2,64.4,2.4,6.6,9.0,1.9,1.9,1.5,0.5,2.5,33.0,28,0,-3.2,2016,0,False,0.29,F,59.6,4.5,2016
64,Nicolas Batum,CHA,27,70,41,29,35.0,14.9,12.5,42.6,5.7,34.8,2.7,84.9,0.8,5.3,6.1,5.8,2.9,0.9,0.6,1.6,32.6,11,2,3.0,2016,0,False,0.59,G-F,59.1,3.9,2016
65,Tobias Harris,DET,23,76,37,39,33.1,14.7,11.7,46.9,3.1,33.5,3.2,83.1,1.3,5.4,6.7,2.2,1.4,0.9,0.5,2.0,28.8,12,0,0.2,2016,0,False,0.49,F,55.5,0.5,2016
66,Rodney Hood,UTA,23,79,39,40,32.2,14.5,12.3,42.0,5.7,35.9,2.5,86.0,0.5,2.9,3.4,2.7,1.6,0.9,0.2,2.6,24.4,0,0,1.7,2016,0,False,0.49,G,58.9,4.3,2016
67,Kentavious Caldwell-Pope,DET,23,76,41,35,36.7,14.5,12.6,42.0,4.9,30.9,3.0,81.1,0.9,2.8,3.7,1.8,1.4,1.4,0.2,2.2,25.3,1,0,2.3,2016,0,False,0.54,G,51.8,-2.4,2016
68,Will Barton,DEN,25,82,33,49,28.7,14.4,12.0,43.2,4.0,34.5,3.3,80.6,0.7,5.1,5.8,2.5,1.7,0.9,0.5,1.8,27.4,6,0,-1.6,2016,0,False,0.4,F-G,57.5,3.4,2016
69,Kristaps Porzingis,NYK,20,72,28,44,28.4,14.3,12.3,42.1,3.4,33.3,3.3,83.8,1.8,5.5,7.3,1.3,1.7,0.7,1.9,2.8,31.1,21,0,0.2,2016,0,False,0.39,F-C,48.3,-6.7,2016
70,Hassan Whiteside,MIA,27,73,42,31,29.1,14.2,9.3,60.6,0.0,0.0,4.5,65.0,3.3,8.6,11.8,0.4,1.9,0.6,3.7,2.8,40.0,41,3,1.2,2016,0,False,0.58,C,49.7,-5.3,2016
71,Jae Crowder,BOS,25,73,43,30,31.6,14.2,11.1,44.3,5.0,33.6,3.3,82.0,1.0,4.2,5.1,1.8,1.1,1.7,0.5,2.7,28.6,5,0,3.0,2016,0,False,0.59,F,59.8,5.1,2016
72,Jamal Crawford,LAC,36,79,51,28,26.9,14.2,11.9,40.4,4.4,34.0,3.4,90.4,0.3,1.6,1.8,2.3,1.4,0.7,0.2,1.5,20.9,0,0,2.1,2016,0,False,0.65,G,58.5,4.1,2016
73,Goran Dragic,MIA,30,72,44,28,32.8,14.1,12.2,47.7,2.8,31.2,2.3,72.7,0.8,3.1,3.8,5.8,2.6,1.0,0.2,2.6,28.6,5,0,2.8,2016,1,False,0.61,G,54.4,0.7,2016
74,Marcus Morris Sr.,DET,26,80,42,38,35.7,14.1,11.8,43.4,3.7,36.2,3.4,74.9,1.1,3.9,5.1,2.5,1.8,0.8,0.3,2.1,25.6,4,0,2.0,2016,0,False,0.52,F,56.4,1.7,2016
75,Deron Williams,DAL,32,65,31,34,32.4,14.1,11.9,41.4,4.3,34.4,3.2,86.9,0.3,2.6,2.9,5.8,2.3,0.9,0.2,2.4,27.5,4,0,0.0,2016,2,False,0.48,G,62.8,10.0,2016
76,Jabari Parker,MIL,21,76,32,44,31.7,14.1,11.8,49.3,0.5,25.7,3.0,76.8,1.6,3.6,5.2,1.7,1.5,0.9,0.4,2.0,25.2,6,0,-2.5,2016,0,False,0.42,F,65.2,10.0,2016
77,Zach LaVine,MIN,21,82,29,53,28.0,14.0,11.7,45.2,3.9,38.9,2.5,79.3,0.3,2.5,2.8,3.1,1.9,0.8,0.2,2.4,23.2,0,0,-3.6,2016,0,False,0.35,G,64.5,10.4,2016
78,Darren Collison,SAC,28,74,29,45,30.0,14.0,10.5,48.6,2.9,40.1,3.1,85.8,0.4,1.9,2.3,4.3,1.8,1.0,0.1,1.9,24.7,4,0,-0.9,2016,0,False,0.39,G,63.0,9.4,2016
79,Draymond Green,GSW,26,81,73,8,34.7,14.0,10.1,49.0,3.2,38.8,4.1,69.6,1.7,7.8,9.5,7.4,3.2,1.5,1.4,3.0,41.8,33,13,13.2,2016,0,True,0.9,F,46.7,-8.2,2016
80,Monta Ellis,IND,30,81,44,37,33.8,13.8,12.6,42.7,3.5,30.9,2.5,78.6,0.5,2.8,3.3,4.7,2.5,1.9,0.5,2.1,29.4,1,0,1.3,2016,0,False,0.54,G,59.1,5.3,2016
81,Devin Booker,PHX,19,76,20,56,27.7,13.8,11.4,42.3,3.8,34.3,3.4,84.0,0.4,2.1,2.5,2.6,2.1,0.6,0.3,3.0,21.1,3,0,-4.9,2016,0,False,0.26,G,58.7,4.9,2016
82,Dwight Howard,HOU,30,71,34,37,32.1,13.7,8.5,62.0,0.1,0.0,6.7,48.9,3.4,8.4,11.8,1.4,2.3,1.0,1.6,3.1,35.3,38,0,0.3,2016,8,False,0.48,C,54.8,0.2,2016
83,Chandler Parsons,DAL,27,61,29,32,29.5,13.7,10.7,49.2,4.1,41.4,2.2,68.4,0.5,4.2,4.7,2.8,1.6,0.8,0.3,1.9,25.2,3,0,0.0,2016,0,False,0.48,F,53.7,-0.1,2016
84,Marcin Gortat,WAS,32,75,35,40,30.1,13.5,10.2,56.7,0.0,0.0,2.8,70.5,3.0,6.9,9.9,1.4,1.6,0.6,1.3,2.6,31.6,41,0,0.8,2016,0,False,0.47,C,50.1,-5.3,2016
85,Alec Burks,UTA,24,31,13,18,25.7,13.3,10.8,41.0,2.5,40.5,4.5,75.2,0.5,3.0,3.5,2.0,1.6,0.6,0.1,2.3,21.0,0,0,-0.4,2016,0,False,0.42,G,65.1,10.0,2016
86,D'Angelo Russell,LAL,20,80,17,63,28.2,13.2,12.0,41.0,4.6,35.1,2.4,73.7,0.6,2.8,3.4,3.3,2.5,1.2,0.2,1.8,23.8,1,0,-6.8,2016,0,False,0.21,G,65.6,11.5,2016
87,Dahntay Jones,CLE,35,1,0,1,42.4,13.0,14.0,42.9,2.0,50.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,2.0,6.0,31.0,0,0,-1.0,2016,0,False,0.0,G-F,25.0,-14.1,2016
88,Jarrett Jack,BKN,32,32,10,22,32.1,12.8,11.2,39.1,3.2,30.4,3.5,89.3,0.3,4.0,4.3,7.4,2.9,1.1,0.2,2.4,29.9,6,0,-4.1,2016,0,False,0.31,G,60.2,5.8,2016
89,Emmanuel Mudiay,DEN,20,68,29,39,30.4,12.8,13.3,36.4,3.4,31.9,3.1,67.0,0.5,2.9,3.4,5.5,3.2,1.0,0.5,2.1,26.3,4,0,-1.7,2016,0,False,0.43,G,61.0,7.0,2016
90,Robert Covington,PHI,25,67,10,57,28.4,12.8,10.6,38.5,7.2,35.3,2.6,79.1,1.0,5.3,6.3,1.4,2.1,1.6,0.6,3.5,26.8,7,0,-4.2,2016,0,False,0.15,F,58.3,3.3,2016
91,Arron Afflalo,NYK,30,71,27,44,33.4,12.8,11.3,44.3,3.4,38.2,1.8,84.0,0.3,3.4,3.7,2.0,1.2,0.4,0.1,2.0,20.7,1,0,-2.1,2016,0,False,0.38,G,61.1,7.2,2016
92,Jonas Valanciunas,TOR,24,60,40,20,25.9,12.8,8.9,56.5,0.0,0.0,3.6,76.1,3.1,6.1,9.1,0.7,1.4,0.4,1.3,2.6,28.6,22,0,2.5,2016,0,False,0.67,C,51.8,-3.3,2016
93,Michael Beasley,HOU,27,20,10,10,18.1,12.8,10.3,52.2,0.5,33.3,2.5,77.6,1.5,3.5,4.9,0.8,1.2,0.6,0.5,2.0,21.6,1,0,-3.4,2016,0,False,0.5,F,52.0,-2.8,2016
94,DeAndre Jordan,LAC,27,77,51,26,33.7,12.7,6.6,70.3,0.0,0.0,8.0,43.0,3.5,10.3,13.8,1.2,1.4,0.7,2.3,2.7,38.5,49,0,5.7,2016,1,True,0.66,C,48.3,-6.1,2016
95,Michael Kidd-Gilchrist,CHA,22,7,5,2,29.2,12.7,8.7,54.1,1.0,42.9,4.1,69.0,1.7,4.7,6.4,1.3,1.1,0.4,0.4,1.3,23.8,2,0,8.3,2016,0,False,0.71,F,52.8,-3.0,2016
96,Enes Freedom,OKC,24,82,55,27,21.0,12.7,8.8,57.6,0.3,47.6,3.1,79.7,3.0,5.1,8.1,0.4,1.4,0.3,0.4,2.0,23.7,25,0,1.5,2016,0,False,0.67,C,51.9,-2.8,2016
97,Trevor Ariza,HOU,31,81,40,41,35.3,12.7,10.6,41.6,6.2,37.1,2.0,78.3,0.8,3.7,4.5,2.3,1.4,2.0,0.3,2.2,27.1,1,0,0.5,2016,0,False,0.49,F,58.6,3.5,2016
98,Ish Smith,PHI,27,77,16,61,29.1,12.6,12.6,41.1,2.2,32.9,2.3,69.3,0.6,3.4,4.0,6.5,2.3,1.1,0.3,1.7,29.2,12,0,-4.5,2016,0,False,0.21,G,60.5,7.3,2016
99,Serge Ibaka,OKC,26,78,54,24,32.1,12.6,11.1,47.9,2.4,32.6,1.6,75.2,1.8,5.0,6.8,0.8,1.4,0.5,1.9,2.7,27.8,9,0,6.8,2016,0,False,0.69,F,51.3,-3.1,2016
100,Wesley Matthews,DAL,29,78,40,38,33.9,12.5,10.9,38.8,6.7,36.0,1.9,86.3,0.3,2.7,3.1,1.9,1.0,1.0,0.2,2.3,21.7,0,0,1.3,2016,0,False,0.51,G-F,62.0,7.7,2016
101,Kenneth Faried,DEN,26,67,26,41,25.3,12.5,9.3,55.8,0.0,50.0,3.3,61.3,3.5,5.2,8.7,1.2,1.4,0.5,0.9,2.5,27.4,21,0,-1.6,2016,0,False,0.39,F,58.7,4.0,2016
102,JR Smith,CLE,30,77,53,24,30.7,12.4,11.0,41.5,6.6,40.0,0.9,63.4,0.6,2.3,2.8,1.7,0.8,1.1,0.3,2.6,21.5,1,0,4.0,2016,0,False,0.69,G-F,57.1,2.7,2016
103,Luol Deng,MIA,31,74,45,29,32.4,12.3,10.1,45.5,3.5,34.4,2.6,75.5,1.5,4.5,6.0,1.9,1.1,1.0,0.4,1.6,25.4,13,0,0.3,2016,0,False,0.61,F,57.8,3.0,2016
104,Gary Harris,DEN,21,76,31,45,32.1,12.3,10.1,46.9,3.9,35.4,1.8,82.0,0.7,2.2,2.9,1.9,1.3,1.3,0.2,1.9,21.9,0,0,-2.8,2016,0,False,0.41,G,59.3,4.4,2016
105,Joe Johnson,MIA,35,81,31,50,33.4,12.2,10.6,43.9,3.9,38.3,1.8,83.1,0.6,3.0,3.6,3.9,2.0,0.8,0.0,1.8,22.9,3,0,-0.7,2016,1,False,0.38,F-G,65.4,10.5,2016
106,Mirza Teletovic,PHX,30,79,23,56,21.3,12.2,9.8,42.7,5.8,39.3,2.0,77.4,0.7,3.1,3.8,1.1,1.1,0.4,0.3,2.0,19.4,2,0,-2.2,2016,0,False,0.29,F,58.2,4.1,2016
107,George Hill,IND,30,74,41,33,34.1,12.1,10.0,44.1,4.2,40.8,2.0,76.0,0.8,3.2,4.0,3.5,1.4,1.1,0.2,2.0,24.9,0,0,1.3,2016,0,False,0.55,G,56.5,3.2,2016
108,Al Jefferson,CHA,31,47,33,14,23.3,12.0,10.7,48.5,0.0,0.0,2.4,64.9,1.2,5.2,6.4,1.5,0.7,0.6,0.9,2.5,25.7,7,0,1.0,2016,1,False,0.7,C,55.6,0.8,2016
109,Markieff Morris,WAS,26,64,22,42,25.5,12.0,11.2,42.5,2.4,30.3,2.3,73.5,1.1,4.4,5.5,1.9,2.1,0.9,0.5,2.9,23.7,2,0,-1.4,2016,0,False,0.34,F,56.1,1.3,2016
110,Rajon Rondo,SAC,30,72,29,43,35.2,11.9,10.9,45.4,2.4,36.5,2.1,58.0,1.1,5.0,6.0,11.7,3.9,2.0,0.1,2.4,39.1,37,6,-2.1,2016,1,False,0.4,G,63.8,10.4,2016
