,Player,Team,AGE,GP_x,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,year
0,Stephen Curry,GSW,28,79,71,8,34.2,30.1,20.2,50.4,11.2,45.4,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2.0,50.3,15,2,12.9,2016,2,True,0.9,G,56.9,3.9,2016
1,James Harden,HOU,26,82,41,41,38.1,29.0,19.7,43.9,8.0,35.9,10.2,86.0,0.8,5.3,6.1,7.5,4.6,1.7,0.6,2.8,49.9,23,3,1.5,2016,3,False,0.5,G,60.3,5.3,2016
2,Kevin Durant,OKC,27,72,52,20,35.8,28.2,19.2,50.5,6.7,38.7,6.9,89.8,0.6,7.6,8.2,5.0,3.5,1.0,1.2,1.9,48.5,27,1,9.0,2016,5,True,0.72,F,52.8,-2.2,2016
3,DeMarcus Cousins,SAC,25,65,29,36,34.6,26.9,20.5,45.1,3.2,33.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,50.7,47,1,0.6,2016,1,True,0.45,C-F,50.5,-3.9,2016
4,LeBron James,CLE,31,76,56,20,35.6,25.3,18.6,52.0,3.7,30.9,6.5,73.1,1.5,6.0,7.4,6.8,3.3,1.4,0.6,1.9,47.1,28,3,8.1,2016,11,True,0.74,F,48.4,-6.2,2016
5,Damian Lillard,POR,25,75,40,35,35.7,25.1,19.7,41.9,8.1,37.5,6.2,89.2,0.6,3.4,4.0,6.8,3.2,0.9,0.4,2.2,40.6,15,0,1.3,2016,1,True,0.53,G,56.9,3.8,2016
6,Anthony Davis,NOP,23,61,24,37,35.5,24.3,18.6,49.3,1.8,32.4,7.0,75.8,2.1,8.1,10.3,1.9,2.0,1.3,2.0,2.4,47.5,36,0,-3.3,2016,1,False,0.39,F-C,51.9,-3.5,2016
7,Russell Westbrook,OKC,27,80,55,25,34.4,23.5,18.1,45.4,4.3,29.6,7.2,81.2,1.8,6.0,7.8,10.4,4.3,2.0,0.3,2.5,51.1,54,18,7.9,2016,4,True,0.69,G,60.0,5.4,2016
8,DeMar DeRozan,TOR,26,78,53,25,35.9,23.5,17.7,44.6,1.8,33.8,8.4,85.0,0.8,3.7,4.5,4.0,2.2,1.0,0.3,2.1,36.6,3,0,2.2,2016,0,False,0.68,G,58.7,3.3,2016
9,Paul George,IND,26,81,44,37,34.8,23.1,17.9,41.8,7.0,37.1,6.5,86.0,1.0,6.0,7.0,4.1,3.3,1.9,0.4,2.8,41.0,15,0,2.2,2016,2,True,0.54,F,57.8,2.7,2016
10,Isaiah Thomas,BOS,27,82,48,34,32.2,22.2,16.9,42.8,5.7,35.9,6.6,87.1,0.6,2.4,3.0,6.2,2.7,1.1,0.1,2.0,36.1,7,0,3.6,2016,0,False,0.59,G,61.7,7.8,2016
11,Klay Thompson,GSW,26,80,71,9,33.3,22.1,17.3,47.0,8.1,42.5,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,32.2,0,0,10.5,2016,1,True,0.89,G,56.0,1.5,2016
12,Carmelo Anthony,NYK,32,72,32,40,35.1,21.8,18.2,43.4,4.3,33.9,5.6,82.9,1.4,6.4,7.7,4.2,2.4,0.9,0.5,2.5,39.1,22,0,-0.6,2016,6,False,0.44,F,61.0,5.7,2016
13,Blake Griffin,LAC,27,35,22,13,33.4,21.4,17.2,49.9,0.5,33.3,5.5,72.7,1.5,6.9,8.4,4.9,2.4,0.8,0.5,2.7,40.3,13,0,5.1,2016,4,False,0.63,F,59.1,4.8,2016
14,Kyle Lowry,TOR,30,77,54,23,37.0,21.2,15.6,42.7,7.1,38.8,6.4,81.1,0.7,4.0,4.7,6.4,2.9,2.1,0.4,2.7,41.1,12,1,4.9,2016,0,True,0.7,G,61.2,6.7,2016
15,Kawhi Leonard,SAS,25,72,60,12,33.0,21.2,15.1,50.6,4.0,44.3,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1.0,1.8,40.1,12,0,9.1,2016,0,True,0.83,F,45.7,-9.0,2016
16,Jimmy Butler,CHI,26,67,37,30,36.9,20.9,15.4,45.4,3.1,31.2,7.1,83.2,1.2,4.2,5.3,4.8,2.0,1.6,0.6,1.9,39.4,10,2,-0.2,2016,0,False,0.55,G-F,54.0,-0.7,2016
17,Kemba Walker,CHA,26,81,47,34,35.6,20.9,16.4,42.7,6.0,37.1,5.4,84.7,0.7,3.7,4.4,5.2,2.1,1.6,0.5,1.4,37.9,3,0,3.0,2016,0,False,0.58,G,60.1,6.4,2016
18,CJ McCollum,POR,24,80,44,36,34.7,20.8,17.9,44.8,5.9,41.7,2.8,82.7,0.6,2.7,3.2,4.3,2.5,1.2,0.3,2.3,33.2,2,0,2.0,2016,0,False,0.55,G,56.8,3.3,2016
