,Player,Team,AGE,GP_x,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,year
0,Kevin Durant,OKC,25,81,58,23,38.5,32.0,20.8,50.3,6.1,39.1,9.9,87.3,0.7,6.7,7.4,5.5,3.5,1.3,0.7,2.1,51.6,27,3,6.3,2014,4,True,0.72,F,50.8,-4.4,2014
1,Carmelo Anthony,NYK,30,77,35,42,38.7,27.4,21.3,45.2,5.4,40.2,7.0,84.8,1.9,6.2,8.1,3.1,2.6,1.2,0.7,2.9,45.0,22,0,1.4,2014,6,False,0.45,F,55.9,1.3,2014
2,LeBron James,MIA,29,77,52,25,37.7,27.1,17.6,56.7,4.0,37.9,7.6,75.0,1.1,5.9,6.9,6.3,3.5,1.6,0.3,1.6,47.2,12,1,5.3,2014,9,True,0.68,F,56.9,2.6,2014
3,Kevin Love,MIN,25,77,39,38,36.3,26.1,18.5,45.7,6.6,37.6,8.2,82.1,2.9,9.6,12.5,4.4,2.5,0.8,0.5,1.8,48.9,65,3,4.6,2014,1,True,0.51,F-C,58.3,3.2,2014
4,James Harden,HOU,24,73,48,25,38.0,25.4,16.5,45.6,6.6,36.6,9.1,86.6,0.8,3.9,4.7,6.1,3.6,1.6,0.4,2.4,42.5,14,1,5.6,2014,1,True,0.66,G,55.2,0.3,2014
5,Blake Griffin,LAC,25,80,56,24,35.8,24.1,17.0,52.8,0.6,27.3,8.4,71.5,2.4,7.1,9.5,3.9,2.8,1.2,0.6,3.3,43.8,43,1,7.1,2014,2,True,0.7,F,53.1,-1.8,2014
6,Stephen Curry,GSW,26,78,50,28,36.5,24.0,17.7,47.1,7.9,42.4,4.5,88.5,0.6,3.7,4.3,8.5,3.8,1.6,0.2,2.5,43.7,28,4,7.4,2014,0,True,0.64,G,60.4,5.6,2014
7,LaMarcus Aldridge,POR,28,69,46,23,36.2,23.2,20.6,45.8,0.2,20.0,5.2,82.2,2.4,8.7,11.1,2.6,1.8,0.9,1.0,2.1,44.3,40,0,5.3,2014,1,True,0.67,F,51.0,-4.1,2014
8,DeMarcus Cousins,SAC,23,71,28,43,32.4,22.7,16.8,49.6,0.1,0.0,8.4,72.6,3.1,8.6,11.7,2.9,3.5,1.5,1.3,3.8,46.1,53,0,-0.2,2014,0,False,0.39,C,50.9,-4.5,2014
9,DeMar DeRozan,TOR,24,79,45,34,38.2,22.7,17.8,42.9,2.7,30.5,8.0,82.4,0.6,3.7,4.3,4.0,2.2,1.1,0.4,2.5,35.9,2,0,2.3,2014,0,False,0.57,G,62.1,6.8,2014
10,Al Jefferson,CHA,29,73,38,35,35.0,21.8,18.8,50.9,0.2,20.0,3.8,69.0,2.1,8.7,10.8,2.1,1.7,0.9,1.1,2.4,42.3,42,0,0.4,2014,0,True,0.52,C,51.4,-3.2,2014
11,Russell Westbrook,OKC,25,46,34,12,30.7,21.8,17.2,43.7,4.7,31.8,6.4,82.6,1.2,4.5,5.7,6.9,3.8,1.9,0.2,2.3,41.4,11,2,4.8,2014,3,False,0.74,G,59.6,4.2,2014
12,Paul George,IND,24,80,54,26,36.2,21.7,17.0,42.4,6.3,36.4,5.8,86.4,0.8,6.0,6.8,3.5,2.8,1.9,0.3,2.5,38.8,12,1,4.6,2014,1,True,0.68,F-G,49.2,-6.1,2014
13,Dirk Nowitzki,DAL,36,80,48,32,32.9,21.7,15.9,49.7,4.1,39.8,4.7,89.9,0.5,5.7,6.2,2.7,1.5,0.9,0.6,2.1,36.2,6,0,4.0,2014,12,False,0.6,F,55.0,-0.4,2014
14,Kyrie Irving,CLE,22,71,28,43,35.2,20.8,17.4,43.0,4.8,35.8,4.8,86.1,0.7,2.9,3.6,6.1,2.7,1.5,0.3,2.3,37.2,7,1,-3.1,2014,0,False,0.39,G,61.2,7.5,2014
15,Anthony Davis,NOP,21,67,29,38,35.2,20.8,15.0,51.9,0.1,22.2,6.6,79.1,3.1,7.0,10.0,1.6,1.6,1.3,2.8,3.0,46.0,36,0,-1.7,2014,0,False,0.43,F-C,51.0,-4.1,2014
