GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,累積前三隊,勝率,DFG_percent,DIFF_percent,Player,Team,當年有無入選,position,Final_Position,是否首次入選,C,C-F,F,F-C,F-G,G,G-F
0.9386695939966848,1.4890912801289231,0.06508417941921968,1.5183206932722229,3.519689118328086,2.6485950776325677,0.4973086226254807,0.4165705641758632,0.5812590974458021,6.289735320064287,0.5003758216294141,1.6770375632861032,3.8160759500485035,3.437922105289447,1.2375486463450007,2.496560286048805,1.1768931032738958,2.9803535490774924,1.3738574498672576,3.3929686925361606,4.860688046576662,1.3428887286668953,1.6659097169026371,2.1181657524131716,0.8847381426380255,-0.21140591783288604,-0.4212412139244135,Joel Embiid,PHI,0,C-F,C-F,0,0,1,0,0,0,0,0
0.4586494163311297,0.16947169348963476,0.6453767104241711,1.8786684657118116,3.4719134943716052,3.107778290746175,0.7033854792749861,2.314415268019164,0.49255898955232175,2.682394952614491,0.2553528379043296,0.3339356201167612,2.431722005042586,1.9597436027522395,2.326979471586907,2.9817890761486483,1.6659045385723341,1.91336414054952,0.7234580086201124,3.169061989388788,1.9891963625101705,4.365035231716864,-0.4142808809345641,12.928479854616722,-0.18796858808987746,-0.4548868329283475,-0.5474320707049983,LeBron James,LAL,0,F,F,0,0,0,1,0,0,0,0
0.8986679125245552,1.4890912801289231,-0.007452386956399251,1.422934518214685,3.408212662429632,2.4398754353082004,0.9424346329884122,0.3724346408306701,0.00470839613818133,6.040953225757405,0.11171867503100488,1.542727368969169,3.8160759500485035,3.395688433788384,2.1090933065385253,2.739174681098727,1.1768931032738958,2.713606196945499,2.0242568911144025,3.4825313737951102,4.860688046576662,2.8539619801918796,1.8045890900917838,3.66249633844225,0.9358194155298305,-0.5279311074569858,-0.6904483750563278,Giannis Antetokounmpo,MIL,0,F,F,0,0,0,1,0,0,0,0
0.41864773485900014,0.8952624661412434,-0.225062086083256,1.8786684657118116,3.408212662429632,2.7946988272596243,0.6539270336791047,1.211017184389338,0.6699592053392819,3.55313228268858,0.9059311050364494,-0.47192554578484425,2.320973689442113,1.6218742307437355,2.4359225541110976,2.9817890761486483,0.6878816679754574,1.379869436285533,0.5933781203706833,2.9272427499896247,1.6446173604221919,2.8539619801918796,1.5272303437134904,6.751157510500407,0.8336568697462206,-0.4061906499092551,-0.4969557279927644,Kevin Durant,BKN,0,F,F,0,0,0,1,0,0,0,0
0.818664549580296,1.4231103007969588,-0.07998895333201818,1.6878961155967351,3.1693345426472312,3.066034362281302,0.15109950345431195,2.6675026547807086,0.44820893560558156,3.6153278062653,0.20465842747845064,0.06531523148289266,3.0962118986454272,2.3398466462618073,3.688768003139289,4.194861051398255,1.4213988209231148,0.5796273798895535,0.7234580086201124,3.1780182575146827,4.6309687118513425,7.387181734766832,0.778361728492098,1.3460004593986319,0.9869006884216355,0.14569942430712454,0.10876038455404288,Luka Doncic,DAL,0,F-G,F-G,0,0,0,0,0,1,0,0
1.2586830457737215,1.1591863834691012,1.0080595423022656,1.634903796120325,3.1693345426472312,2.7946988272596243,0.17582872625225238,2.314415268019164,0.6625675296814922,3.4909367591118587,0.8805838998235099,-0.20330515715097586,0.2167556930331184,0.05922838520440174,4.233483415760242,3.5883250637734516,0.6878816679754574,-0.7541093807704123,0.07305856737296704,2.586904561205618,4.401249377126024,-0.16818452285808902,0.7506258538542685,-0.19833012663044677,0.2206815950445618,0.3242520953771293,0.3779675456859572,Trae Young,ATL,0,G,G,0,0,0,0,0,0,1,0
1.2586830457737215,1.3571293214649944,0.7904498431754089,1.7620853628637094,3.089708502719764,2.7738268630271876,0.5385239939553818,-0.3778760560376117,0.440817259947792,3.801914376995462,0.766521476365281,-0.20330515715097586,0.9366197444361957,0.6927334577203479,1.618849435179668,1.6474099033740806,0.6878816679754574,-0.22061467650642608,0.853537896869541,2.2465663724216114,0.26630135207027594,-0.16818452285808902,0.4455312328381457,1.3460004593986319,0.42500668661178104,0.12135133279757807,0.06669676562718127,DeMar DeRozan,CHI,0,G-F,G-F,0,0,0,0,0,0,0,1
-0.6213959834163693,-0.5563190791619739,-0.5152083515857317,1.9210623212929394,3.010082462792297,2.9825465053515545,0.25001639464607417,2.4026871147095497,0.9286678533619321,1.687266575386961,0.9270537760472325,-0.33761535146791005,0.6043747976347752,0.3548640857118433,2.1090933065385253,1.7687171008990414,1.910410256221553,0.5796273798895535,1.503937338116686,2.434648003065404,-0.19313731738036266,-0.16818452285808902,1.3330792212486848,2.1181657524131716,-0.03472476941446291,-0.2763341618583422,-0.30346308092920093,Kyrie Irving,BKN,0,G,G,0,0,0,0,0,0,1,0
0.49865109780325934,0.8952624661412434,-0.07998895333201818,1.4441314460052492,3.010082462792297,2.8573147199569346,0.4478501770295993,0.7696579509374075,0.3816838546854716,3.4909367591118587,0.2764755089151127,0.7368662030675636,0.9366197444361957,0.9039018152256633,2.5993371778973833,2.860481878623687,1.4213988209231148,0.04613267562556722,-0.18710120912589093,2.506298148072564,0.7257400215209145,0.5873521029044031,1.0834563495082206,-0.19833012663044677,0.7314943239626107,-0.5279311074569858,-0.6063211372026046,Ja Morant,MEM,0,G,G,0,0,0,0,0,0,1,0
1.1786796828294623,1.5550722594608877,0.4277670112973143,1.486525301586377,2.9623068388358176,2.2520277572162697,1.1897268609678187,0.5048424108662491,0.32994212508094184,2.8689815233446523,0.48347768482078735,2.6172089235046423,4.5913141592518185,4.324829206811772,3.252995673042527,3.3457106687235303,2.1549159738707724,1.379869436285533,1.2437775616178284,3.6706130044389034,7.1578813938298556,14.187011366629262,1.8323249647296131,2.1181657524131716,0.6804130510708057,-0.01662118575651642,-0.21092311929010538,Nikola Jokic,DEN,0,C,C,0,1,0,0,0,0,0,0
