GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,累積前三隊,勝率,DFG_percent,DIFF_percent,Player,Team,當年有無入選,position,是否首次入選,C,C-F,F,F-C,F-G,G,G-F
1.0945098410802572,1.649375895236268,0.13412558651401602,1.9254097860007793,4.5053358954701395,3.8112474931154674,-0.018850279115438223,5.078244354045557,0.5283660461532966,5.6033866322825405,0.8762511954798952,-0.07044321477459366,1.5832557027118523,1.16165095479508,3.125015247618538,4.975627323243251,3.3596421203073668,0.741209389225869,1.7037080862877343,3.6770562219822924,2.914420092437585,3.7750507376098184,1.5180540021167852,3.6612917358588684,0.8694559005969745,-0.14318283111625438,-0.2248864148749859,James Harden,HOU,1,G,0,0,0,0,0,0,1,0
1.0550591425928169,1.3299870102173803,0.4131283095632115,1.9366717764994146,3.1698603295518106,3.0418910297495834,-0.0612940746074681,3.4533608589416045,0.6555496483992156,3.159556664085365,0.6693239424010347,0.6912240449757004,2.115899580139383,1.7984157266360161,1.2083624006727687,2.0512519732897956,3.849501443369461,0.0009508779848952319,1.3221382516574116,2.825451341586427,1.9250270861744332,0.42208211327525635,2.079392685135112,2.88506199283977,0.5902876177401136,-0.29748869638298425,-0.333653409659595,Paul George,OKC,1,F,0,0,0,1,0,0,0,0
0.857805650155615,1.968764780255156,-0.6331319018712716,1.474930166055369,3.120398271554835,2.2285713399056486,1.4242387676135564,0.10801248666875982,-0.2629985900435298,4.6869503942085995,0.10027399643416807,1.7067803913094266,3.9801531511357404,3.509721050958533,2.223060966702882,3.32271951674782,1.645134489590038,2.7152320858684664,1.8308980311645087,3.450565562302541,4.893206104963888,2.6573945294982977,2.921400709662602,1.3326025068015732,1.5952934360248123,-0.6242540581242942,-0.7415296401018795,Giannis Antetokounmpo,MIL,1,F,0,0,0,1,0,0,0,0
0.5422000622560924,1.1383536792060476,-0.2843784980597772,1.576288080543087,3.0874235662235185,2.536313925252002,0.4268095735508687,0.7292914700908594,0.04789465989093775,5.053524889438176,0.48826259595703164,2.0876140211845735,4.406268253077765,3.9474968315991763,0.982873830443855,3.0684260080562145,0.1755565204037561,3.7022434341897648,1.9580879760412824,3.2240749026227897,5.2889633074691496,0.9809102173310167,1.8922797907956699,0.556372763782475,0.9811232137397189,-0.7967135545988743,-0.8865522998146916,Joel Embiid,PHI,1,F-C,0,1,0,0,0,0,0,0
0.1871437758691293,0.18018702414938406,0.13412558651401602,1.7452179380226158,3.07093621355786,2.8000932841203054,0.7026942442490591,1.5895239086753055,0.32345913142376126,3.526131159314941,-0.23080960849200913,0.18344587180883773,2.435485906595902,1.917809121356192,3.5759923880763664,3.195572762402018,1.645134489590038,0.4944565521455444,-0.07695114198710401,3.0700612540405587,2.716541491184955,4.3338788416655785,0.7384169423691092,10.647359423030753,0.08778470859776455,-0.21579735594765695,-0.2792699122672905,LeBron James,LAL,1,F,0,0,0,1,0,0,0,0
0.739453554693294,1.7132536722400455,-0.5633812211089727,1.5875500710417216,3.0544488608922014,2.690185217925179,0.2994781870747813,4.361383988558519,1.015903188095985,1.4488756863473427,1.0676589045778406,-0.19738775806630948,0.997347437541569,0.6442795776743192,1.8284559688022826,2.1783987276355976,1.645134489590038,0.0009508779848952319,0.813378472150315,2.327171890290974,-0.15269822697818589,-0.13674599078050398,3.2020700511717655,3.6612917358588684,1.4277924663106958,0.37419565830748575,0.4911629674570244,Stephen Curry,GSW,1,G,0,0,0,0,0,0,1,0
0.38439726830633103,1.0105981251984923,-0.42387985958437496,1.6100740520389925,2.9390373922325934,2.5582955384910275,0.5541409600269568,1.1594076893830825,0.5495633131942834,3.2206524132902943,0.7469216623056073,0.564279501683985,1.6897844781973586,1.4402355424754896,0.7573852602149408,1.1612246928691785,2.8697827972452723,0.0009508779848952319,-0.33133103174065226,2.4177681541628746,0.9356340799112812,-0.13674599078050398,1.923465273185577,1.3326025068015732,1.0369568703110912,-0.3701032212143862,-0.40616473951600107,Kawhi Leonard,TOR,1,F,0,0,0,1,0,0,0,0
0.5422000622560924,-0.6502240768997243,1.668640563284591,1.722693957025345,2.9390373922325934,2.73414844440323,0.24642344270974473,1.8762680548701205,0.23160430757948694,3.2206524132902943,0.8089998382292649,-0.3243323013580252,0.3581747846285322,0.1667059987936169,2.7304102497179383,3.831306534131029,0.6654158434658501,-0.4925547961757541,1.7037080862877343,2.055383098675273,0.7377554786586509,-0.13674599078050398,-1.538123272094105,-0.21985697923662323,-1.4755576754006552,0.3288115802878594,0.3098846428160091,Devin Booker,PHX,0,G,0,0,0,0,0,0,1,0
1.0945098410802572,1.8410092262476008,-0.0751264557728806,1.6776459950308042,2.840113276238643,2.3164977928617496,0.8194146818521397,1.1594076893830825,0.4223797109483645,2.8540779180607183,0.907290283441724,-0.5782213879414566,1.6365200904546058,1.082055358314963,2.223060966702882,2.3055454819814,0.1755565204037561,1.7282207375471679,0.3046186926432185,2.435887406937255,1.1335126811639116,0.9809102173310167,2.703102332933253,5.989980964916163,1.0927905268824627,-0.48810182406541514,-0.5239956505326611,Kevin Durant,GSW,1,F,0,0,0,1,0,0,0,0
0.22659447435656965,-0.011446306861948643,0.4131283095632115,1.49745414705264,2.8236259235729846,2.4483874722959014,0.7769708863601107,0.01243110460382153,0.26693308598113097,3.5872269085198707,0.4365307826873165,2.8492812809348678,3.2344517227371976,3.3107320597582404,1.095618115558312,1.1612246928691785,2.3799234741831787,4.936007619591388,0.813378472150315,3.4415059359153504,3.2112379943165306,-0.13674599078050398,0.8319733895388303,2.1088322498206717,-0.24721723083046826,-0.15225964672017978,-0.3245894934275443,Anthony Davis,NOP,0,F-C,0,0,0,0,1,0,0,0
