Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率
Donald Sloan,IND,27,53,22,31,20.9,7.4,6.7,40.8,2.5,31.3,1.5,77.9,0.2,2.5,2.7,3.6,1.2,0.4,0.0,0.9,16.1,1,0,-1.6,2015,0,False,0.42
Alan Anderson,BKN,32,74,35,39,23.6,7.4,5.9,44.3,2.8,34.8,1.4,81.2,0.4,2.3,2.8,1.1,0.8,0.8,0.1,2.0,14.0,0,0,-0.8,2015,0,False,0.47
Omer Asik,NOP,28,76,43,33,26.1,7.3,5.4,51.7,0.0,0.0,3.0,58.2,3.2,6.6,9.8,0.9,1.3,0.4,0.7,1.9,22.6,13,0,0.3,2015,0,False,0.57
Channing Frye,ORL,32,75,23,52,24.9,7.3,6.5,39.2,4.6,39.3,0.5,88.6,0.4,3.5,3.9,1.3,1.0,0.6,0.5,2.5,16.3,2,0,-3.3,2015,0,False,0.31
Henry Walker,MIA,27,24,12,12,26.1,7.3,7.0,34.5,5.5,34.1,0.8,77.8,0.3,3.1,3.4,1.2,1.0,1.0,0.4,3.2,16.3,0,0,0.0,2015,0,False,0.5
Larry Sanders,MIL,26,27,12,15,21.7,7.3,6.4,50.0,0.0,0.0,1.8,50.0,2.5,3.7,6.1,0.9,1.0,1.0,1.4,3.9,22.1,0,0,-3.3,2015,0,False,0.44
Brandan Wright,PHX,27,75,37,38,19.3,7.3,4.8,64.2,0.0,0.0,1.5,69.6,1.7,2.6,4.3,0.5,0.5,0.7,1.3,1.4,18.5,3,0,-0.2,2015,0,False,0.49
Joakim Noah,CHI,30,67,39,28,30.6,7.2,6.4,44.5,0.0,0.0,2.6,60.3,3.3,6.4,9.6,4.7,1.8,0.7,1.1,3.0,29.4,15,0,1.2,2015,1,False,0.58
Jared Dudley,MIL,29,72,39,33,23.8,7.2,5.9,46.8,2.7,38.5,0.9,71.6,0.6,2.4,3.1,1.8,0.9,1.0,0.2,1.6,16.2,0,0,1.5,2015,0,False,0.54
Carl Landry,SAC,31,70,26,44,17.0,7.2,5.3,51.5,0.0,0.0,2.1,82.0,1.4,2.4,3.8,0.4,0.8,0.2,0.2,1.9,12.9,3,0,-3.1,2015,0,False,0.37
