,Player,Team,AGE,GP_x,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,year
0,Russell Westbrook,OKC,28,81,46,35,34.6,31.6,24.0,42.5,7.2,34.3,10.4,84.5,1.7,9.0,10.7,10.4,5.4,1.6,0.4,2.3,60.6,62,42,3.1,2017,5,True,0.57,G,62.4,6.6,2017
1,James Harden,HOU,27,81,54,27,36.4,29.1,18.9,44.0,9.3,34.7,10.9,84.7,1.2,7.0,8.1,11.2,5.7,1.5,0.5,2.7,55.8,64,22,5.2,2017,3,True,0.67,G,60.5,4.5,2017
2,Isaiah Thomas,BOS,28,76,51,25,33.8,28.9,19.4,46.3,8.5,37.9,8.5,90.9,0.6,2.1,2.7,5.9,2.8,0.9,0.2,2.2,41.5,5,0,3.6,2017,0,True,0.67,G,61.9,7.0,2017
3,Anthony Davis,NOP,24,75,31,44,36.1,28.0,20.3,50.5,1.8,29.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.3,2.2,2.2,53.3,49,0,0.7,2017,1,True,0.41,F-C,49.2,-8.1,2017
4,DeMar DeRozan,TOR,27,74,47,27,35.4,27.3,20.9,46.7,1.7,26.6,8.7,84.2,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.8,40.7,5,0,2.0,2017,0,True,0.64,G,62.8,7.2,2017
5,Damian Lillard,POR,26,75,38,37,35.9,27.0,19.8,44.4,7.7,37.0,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2.0,42.6,11,0,1.1,2017,2,False,0.51,G,57.9,3.3,2017
6,DeMarcus Cousins,NOP,26,72,30,42,34.2,27.0,19.9,45.2,5.0,36.1,9.3,77.2,2.1,8.9,11.0,4.6,3.7,1.4,1.3,3.9,51.4,46,2,-0.3,2017,2,False,0.42,F-C,50.5,-6.6,2017
7,LeBron James,CLE,32,74,51,23,37.8,26.4,18.2,54.8,4.6,36.3,7.2,67.4,1.3,7.3,8.6,8.7,4.1,1.2,0.6,1.8,51.3,42,13,6.5,2017,12,True,0.69,F,56.1,-0.1,2017
8,Kawhi Leonard,SAS,26,74,54,20,33.4,25.5,17.7,48.5,5.2,38.0,7.2,88.0,1.1,4.7,5.8,3.5,2.1,1.8,0.7,1.6,43.3,9,0,5.9,2017,1,True,0.73,F,54.2,-2.3,2017
9,Stephen Curry,GSW,29,79,65,14,33.4,25.3,18.3,46.8,10.0,41.1,4.6,89.8,0.8,3.7,4.5,6.6,3.0,1.8,0.2,2.3,43.6,9,0,12.8,2017,3,True,0.82,G,57.6,2.5,2017
