,Player,Team,AGE,GP_x,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,year
10,Kyrie Irving,CLE,25,72,47,25,35.1,25.2,19.7,47.3,6.1,40.1,4.6,90.5,0.7,2.5,3.2,5.8,2.5,1.2,0.3,2.2,39.7,8,0,4.6,2017,1,False,0.65,G,64.2,9.1,2017
11,Karl-Anthony Towns,MIN,21,82,31,51,37.0,25.1,18.0,54.2,3.4,36.7,5.2,83.2,3.6,8.7,12.3,2.7,2.6,0.7,1.3,2.9,47.1,62,1,-0.3,2017,0,False,0.38,C,56.1,-0.4,2017
12,Kevin Durant,GSW,28,62,51,11,33.4,25.1,16.5,53.7,5.0,37.5,6.2,87.5,0.6,7.6,8.3,4.8,2.2,1.1,1.6,1.9,48.0,23,1,11.5,2017,6,True,0.82,F,51.0,-5.2,2017
13,Jimmy Butler,CHI,27,76,40,36,37.0,23.9,16.5,45.5,3.3,36.7,8.9,86.5,1.7,4.5,6.2,5.5,2.1,1.9,0.4,1.5,44.4,15,2,2.7,2017,0,True,0.53,F,58.9,2.7,2017
14,Paul George,IND,27,75,39,36,35.9,23.7,18.0,46.1,6.6,39.3,5.0,89.8,0.8,5.8,6.6,3.3,2.9,1.6,0.4,2.7,39.5,11,0,2.2,2017,3,False,0.52,F,60.8,3.7,2017
15,Andrew Wiggins,MIN,22,82,31,51,37.2,23.6,19.1,45.2,3.5,35.6,6.6,76.0,1.2,2.8,4.0,2.3,2.3,1.0,0.4,2.2,33.6,1,0,-0.2,2017,0,False,0.38,F,64.6,7.8,2017
16,Kemba Walker,CHA,27,79,36,43,34.7,23.2,18.3,44.4,7.6,39.9,4.5,84.7,0.6,3.3,3.9,5.5,2.1,1.1,0.3,1.5,38.0,8,0,2.4,2017,0,False,0.46,G,57.3,2.7,2017
17,John Wall,WAS,26,78,48,30,36.4,23.1,18.4,45.1,3.5,32.7,6.8,80.1,0.8,3.4,4.2,10.7,4.1,2.0,0.6,1.9,47.9,50,0,3.2,2017,0,True,0.62,G,55.7,1.0,2017
18,Bradley Beal,WAS,24,77,48,29,34.9,23.1,17.2,48.2,7.2,40.4,4.4,82.5,0.7,2.4,3.1,3.5,2.0,1.1,0.3,2.2,34.1,1,0,4.3,2017,0,False,0.62,G,63.9,8.3,2017
19,CJ McCollum,POR,25,80,40,40,34.9,23.0,18.0,48.0,5.5,42.1,3.7,91.2,0.8,2.9,3.6,3.6,2.2,0.9,0.5,2.5,34.8,1,0,0.8,2017,0,False,0.5,G,53.2,-1.1,2017
20,Giannis Antetokounmpo,MIL,22,80,42,38,35.6,22.9,15.7,52.1,2.3,27.2,7.7,77.0,1.8,7.0,8.8,5.4,2.9,1.6,1.9,3.1,49.2,32,3,0.6,2017,0,True,0.52,F-G,47.7,-8.8,2017
21,Carmelo Anthony,NYK,33,74,29,45,34.3,22.4,18.8,43.3,5.7,35.9,4.9,83.3,0.8,5.1,5.9,2.9,2.1,0.8,0.5,2.7,35.6,7,0,-3.1,2017,6,False,0.39,F,58.9,1.8,2017
22,Kyle Lowry,TOR,31,60,36,24,37.4,22.4,15.3,46.4,7.8,41.2,6.1,81.9,0.8,4.0,4.8,7.0,2.9,1.5,0.3,2.8,41.0,11,1,5.9,2017,1,False,0.6,G,62.9,7.9,2017
23,Klay Thompson,GSW,27,78,66,12,34.0,22.3,17.6,46.8,8.3,41.4,2.8,85.3,0.6,3.0,3.7,2.1,1.6,0.8,0.5,1.8,32.2,0,0,10.3,2017,2,False,0.85,G,52.2,-3.1,2017
24,Devin Booker,PHX,20,78,24,54,35.0,22.1,18.3,42.3,5.2,36.3,5.7,83.2,0.6,2.6,3.2,3.4,3.1,0.9,0.3,3.1,31.6,0,0,-2.9,2017,0,False,0.31,G,58.7,3.3,2017
25,Gordon Hayward,UTA,27,73,46,27,34.5,21.9,15.8,47.1,5.1,39.8,5.9,84.4,0.7,4.7,5.4,3.5,1.9,1.0,0.3,1.6,35.5,2,0,4.8,2017,0,False,0.63,F,55.7,0.7,2017
26,Blake Griffin,LAC,28,61,40,21,34.0,21.6,15.9,49.3,1.9,33.6,6.9,76.0,1.8,6.3,8.1,4.9,2.3,0.9,0.4,2.6,40.3,19,1,7.2,2017,4,False,0.66,F,58.8,1.9,2017
27,Eric Bledsoe,PHX,27,66,22,44,33.0,21.1,15.7,43.4,4.7,33.5,6.9,84.7,0.8,4.1,4.8,6.3,3.4,1.4,0.5,2.5,38.5,7,1,-2.8,2017,0,False,0.33,G,63.2,8.5,2017
28,Brook Lopez,BKN,29,75,20,55,29.6,20.5,15.6,47.4,5.2,34.6,4.9,81.0,1.6,3.8,5.4,2.3,2.5,0.5,1.7,2.6,34.5,2,0,-2.1,2017,0,False,0.27,C,49.2,-7.3,2017
29,Mike Conley,MEM,29,69,35,34,33.2,20.5,14.6,46.0,6.1,40.8,5.3,85.9,0.4,3.0,3.5,6.3,2.3,1.3,0.3,1.8,36.7,8,0,2.7,2017,0,False,0.51,G,61.5,6.1,2017
30,Goran Dragic,MIA,31,73,40,33,33.7,20.3,15.4,47.5,4.0,40.5,5.2,79.0,0.8,3.0,3.8,5.8,2.9,1.2,0.2,2.7,34.9,6,0,0.9,2017,1,False,0.55,G,54.9,1.4,2017
31,Joel Embiid,PHI,23,31,13,18,25.4,20.2,13.8,46.6,3.2,36.7,7.9,78.3,2.0,5.9,7.8,2.1,3.8,0.9,2.5,3.6,39.0,9,0,2.2,2017,0,False,0.42,C,42.5,-14.0,2017
32,Jabari Parker,MIL,22,51,22,29,33.9,20.1,16.0,49.0,3.5,36.5,4.3,74.3,1.5,4.6,6.2,2.8,1.8,1.0,0.4,2.2,34.1,2,0,-1.7,2017,0,False,0.43,F,57.8,0.7,2017
33,Marc Gasol,MEM,32,74,40,34,34.2,19.5,15.7,45.9,3.6,38.8,4.5,83.7,0.8,5.5,6.3,4.6,2.2,0.9,1.3,2.3,38.4,11,2,0.9,2017,2,False,0.54,C,51.3,-5.5,2017
34,Harrison Barnes,DAL,25,79,32,47,35.5,19.2,16.2,46.8,2.8,35.1,3.6,86.1,1.2,3.8,5.0,1.5,1.3,0.8,0.2,1.6,29.1,1,0,-1.7,2017,0,False,0.41,F,63.2,6.9,2017
35,Kevin Love,CLE,28,60,40,20,31.4,19.0,14.5,42.7,6.5,37.3,4.9,87.1,2.5,8.6,11.1,1.9,2.0,0.9,0.4,2.1,36.9,41,0,5.6,2017,2,False,0.67,F,55.7,-0.8,2017
36,Zach LaVine,MIN,22,47,16,31,37.2,18.9,15.1,45.9,6.6,38.7,3.0,83.6,0.4,3.0,3.4,3.0,1.8,0.9,0.2,2.2,28.9,0,0,-2.5,2017,0,False,0.34,G,65.3,8.6,2017
37,Rudy Gay,SAC,30,30,11,19,33.8,18.7,14.7,45.5,3.8,37.2,4.6,85.5,1.2,5.2,6.3,2.8,2.5,1.5,0.9,2.6,35.0,4,0,2.2,2017,0,False,0.37,F,52.6,-3.0,2017
38,Dwyane Wade,CHI,35,60,29,31,29.9,18.3,15.9,43.4,2.4,31.0,4.7,79.4,1.1,3.5,4.5,3.8,2.3,1.4,0.7,1.9,33.4,2,0,-1.2,2017,8,False,0.48,G,62.3,7.0,2017
39,Danilo Gallinari,DEN,28,63,31,32,33.9,18.2,11.9,44.7,5.1,38.9,6.1,90.2,0.6,4.5,5.2,2.1,1.3,0.6,0.2,1.5,28.9,4,0,2.5,2017,0,False,0.49,F,61.9,6.5,2017
40,Kristaps Porzingis,NYK,21,66,26,40,32.8,18.1,14.9,45.0,4.8,35.7,3.8,78.6,1.7,5.5,7.2,1.5,1.8,0.7,2.0,3.7,35.2,12,0,-1.5,2017,0,False,0.39,F,50.1,-6.2,2017
41,Chris Paul,LAC,32,61,43,18,31.5,18.1,12.9,47.6,5.0,41.1,4.3,89.2,0.7,4.3,5.0,9.2,2.4,2.0,0.1,2.4,41.8,24,1,9.5,2017,8,False,0.7,G,67.2,11.3,2017
42,Paul Millsap,ATL,32,69,40,29,34.0,18.1,14.1,44.2,3.5,31.1,5.9,76.8,1.6,6.1,7.7,3.7,2.3,1.3,0.9,2.7,37.1,19,0,2.0,2017,0,False,0.58,F,57.0,0.6,2017
43,Derrick Rose,NYK,28,64,26,38,32.5,18.0,15.3,47.1,0.9,21.7,4.0,87.4,1.0,2.8,3.8,4.4,2.3,0.7,0.3,1.3,29.8,2,0,-2.6,2017,1,False,0.41,G,56.8,1.6,2017
44,Dennis Schroder,ATL,23,79,42,37,31.5,17.9,15.4,45.1,3.7,34.0,3.2,85.5,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,31.3,10,0,-1.0,2017,0,False,0.53,G,50.7,-3.5,2017
45,Lou Williams,HOU,30,81,34,47,24.6,17.5,12.3,42.9,5.5,36.5,5.6,88.0,0.3,2.2,2.5,3.0,2.0,1.0,0.2,1.1,26.7,0,0,0.6,2017,0,False,0.42,G,63.6,8.6,2017
46,LaMarcus Aldridge,SAS,31,72,52,20,32.4,17.3,14.6,47.7,0.8,41.1,3.8,81.2,2.4,4.9,7.3,1.9,1.4,0.6,1.2,2.2,33.1,18,0,3.8,2017,4,False,0.72,F,43.3,-13.0,2017
47,Evan Fournier,ORL,24,68,23,45,32.8,17.2,13.7,43.9,5.3,35.6,4.1,80.5,0.6,2.4,3.1,3.0,2.1,1.0,0.1,2.6,26.3,1,0,-2.9,2017,0,False,0.34,G,53.9,-1.5,2017
48,Hassan Whiteside,MIA,28,77,39,38,32.6,17.0,12.6,55.7,0.0,0.0,4.6,62.8,3.8,10.3,14.1,0.7,2.0,0.7,2.1,2.9,41.6,58,0,1.3,2017,0,False,0.51,C,48.4,-8.1,2017
49,George Hill,UTA,31,49,33,16,31.5,16.9,12.4,47.7,4.8,40.3,4.0,80.1,0.5,2.9,3.4,4.2,1.7,1.0,0.2,2.3,29.3,0,0,5.3,2017,0,False,0.67,G,59.4,3.9,2017
50,Nikola Jokic,DEN,22,73,37,36,27.9,16.7,11.7,57.8,1.9,32.4,3.1,82.5,2.9,6.9,9.8,4.9,2.3,0.8,0.8,2.9,38.3,39,6,4.1,2017,0,False,0.51,F-C,60.3,2.6,2017
51,Avery Bradley,BOS,26,55,34,21,33.4,16.3,14.1,46.3,5.0,39.0,1.7,73.1,1.2,4.9,6.1,2.2,1.6,1.2,0.2,2.6,29.6,10,0,1.3,2017,0,False,0.62,G,64.2,8.8,2017
52,Eric Gordon,HOU,28,75,50,25,31.0,16.2,13.5,40.6,8.8,37.2,2.3,84.0,0.4,2.3,2.7,2.5,1.6,0.6,0.5,2.0,25.1,0,0,3.9,2017,0,False,0.67,G,59.2,3.5,2017
53,Tobias Harris,DET,24,82,37,45,31.3,16.1,13.0,48.1,3.8,34.7,2.8,84.1,0.8,4.3,5.1,1.7,1.2,0.7,0.5,1.6,27.2,3,0,0.0,2017,0,False,0.45,F,56.9,0.5,2017
54,Victor Oladipo,OKC,25,67,39,28,33.2,15.9,13.9,44.2,5.3,36.1,2.3,75.3,0.6,3.8,4.3,2.6,1.8,1.2,0.3,2.3,27.7,3,0,2.6,2017,0,False,0.58,G,61.5,6.0,2017
55,Dion Waiters,MIA,25,46,27,19,30.1,15.8,14.4,42.4,4.7,39.5,2.8,64.6,0.4,2.9,3.3,4.3,2.2,0.9,0.4,2.1,28.2,2,0,1.8,2017,0,False,0.59,G,53.2,-2.2,2017
56,Wilson Chandler,DEN,30,71,35,36,30.9,15.7,13.2,46.1,4.6,33.7,2.7,72.7,1.5,5.0,6.5,2.0,1.6,0.7,0.4,2.4,28.3,9,0,-0.5,2017,0,False,0.49,F,48.8,-7.7,2017
57,D'Angelo Russell,LAL,21,63,21,42,28.7,15.6,13.8,40.5,6.1,35.2,3.0,78.2,0.5,3.0,3.5,4.8,2.8,1.4,0.3,2.1,29.2,2,0,-5.7,2017,0,False,0.33,G,74.0,17.9,2017
58,Jrue Holiday,NOP,27,67,32,35,32.7,15.4,13.3,45.4,4.2,35.6,2.5,70.8,0.7,3.3,3.9,7.3,2.9,1.5,0.7,2.0,34.6,16,0,0.6,2017,0,False,0.48,G,54.3,-1.4,2017
59,Jeff Teague,IND,29,82,42,40,32.4,15.3,11.1,44.2,3.1,35.7,5.1,86.7,0.4,3.6,4.0,7.8,2.6,1.2,0.4,2.0,34.0,16,0,0.6,2017,0,False,0.51,G,62.0,7.5,2017
60,Nicolas Batum,CHA,28,77,35,42,34.0,15.1,12.7,40.3,5.3,33.3,3.7,85.6,0.6,5.6,6.2,5.9,2.5,1.1,0.4,1.4,33.5,15,1,0.9,2017,0,False,0.45,G,54.3,-1.9,2017
61,JJ Redick,LAC,33,78,50,28,28.2,15.0,11.4,44.5,6.0,42.9,2.6,89.1,0.1,2.1,2.2,1.4,1.3,0.7,0.2,1.6,21.1,0,0,6.1,2017,0,False,0.64,G,68.3,11.4,2017
62,Gary Harris,DEN,22,57,29,28,31.3,14.9,11.2,50.2,4.5,42.0,2.4,77.6,0.8,2.3,3.1,2.9,1.3,1.2,0.1,1.6,25.8,0,0,1.4,2017,0,False,0.51,G,65.4,10.1,2017
63,Serge Ibaka,TOR,27,79,37,42,30.7,14.8,12.4,48.0,4.0,39.1,1.6,85.6,1.6,5.2,6.8,0.9,1.3,0.5,1.6,2.7,29.4,11,0,-1.8,2017,0,False,0.47,F,53.7,-2.1,2017
64,Jordan Clarkson,LAL,25,82,26,56,29.2,14.7,13.1,44.5,4.3,32.9,2.0,79.8,0.6,2.4,3.0,2.6,2.0,1.1,0.1,1.8,23.7,0,0,-5.1,2017,0,False,0.32,G,65.9,10.5,2017
65,Khris Middleton,MIL,25,29,19,10,30.7,14.7,11.5,45.0,3.6,43.3,3.2,88.0,0.4,3.9,4.2,3.4,2.2,1.4,0.2,2.7,27.6,0,0,3.1,2017,0,False,0.66,G-F,62.0,6.7,2017
66,Nikola Vucevic,ORL,26,75,27,48,28.8,14.6,13.7,46.8,1.0,30.7,2.1,66.9,2.3,8.0,10.4,2.8,1.6,1.0,1.0,2.4,35.7,38,0,-1.9,2017,0,False,0.36,C,53.0,-2.8,2017
67,Jeremy Lin,BKN,28,36,13,23,24.5,14.5,11.1,43.8,4.3,37.2,3.9,81.6,0.3,3.4,3.8,5.1,2.4,1.2,0.4,2.2,29.0,3,0,-2.3,2017,0,False,0.36,G,48.4,-6.2,2017
68,Myles Turner,IND,21,81,42,39,31.4,14.5,10.7,51.1,1.4,34.8,3.7,80.9,1.7,5.6,7.3,1.3,1.3,0.9,2.1,3.2,33.0,15,0,1.8,2017,0,False,0.52,C,49.9,-6.3,2017
69,Tim Hardaway Jr.,ATL,25,79,42,37,27.3,14.5,11.5,45.5,5.3,35.7,2.7,76.6,0.4,2.4,2.8,2.3,1.3,0.7,0.2,1.3,22.6,0,0,2.0,2017,0,False,0.53,G,52.9,-2.7,2017
70,Reggie Jackson,DET,27,52,23,29,27.4,14.5,13.0,41.9,3.5,35.9,2.6,86.8,0.4,1.8,2.2,5.2,2.2,0.7,0.1,2.5,25.0,4,0,-4.3,2017,0,False,0.44,G,55.3,1.1,2017
71,T.J. Warren,PHX,23,66,20,46,31.0,14.4,12.3,49.5,1.5,26.5,2.3,77.3,1.9,3.2,5.1,1.1,0.9,1.2,0.6,2.7,26.6,5,0,-4.3,2017,0,False,0.3,F,59.6,2.9,2017
72,Enes Freedom,OKC,25,72,43,29,21.3,14.3,10.2,54.5,0.5,13.2,4.0,78.6,2.7,4.0,6.7,0.9,1.7,0.4,0.5,2.1,25.0,18,0,0.8,2017,0,False,0.6,C,53.0,-2.8,2017
73,Dirk Nowitzki,DAL,39,54,23,31,26.4,14.2,12.6,43.7,3.9,37.8,2.1,87.5,0.4,6.1,6.5,1.5,0.9,0.6,0.7,2.1,27.2,8,0,-0.2,2017,12,False,0.43,F,55.0,-2.2,2017
74,Zach Randolph,MEM,35,73,38,35,24.5,14.1,13.2,44.9,1.3,22.3,2.6,73.1,2.5,5.7,8.2,1.7,1.4,0.5,0.1,1.9,27.0,20,0,1.0,2017,1,False,0.52,F,62.1,5.7,2017
75,Jordan Crawford,NOP,28,19,9,10,23.3,14.1,11.5,48.2,5.0,38.9,1.4,76.9,0.2,1.6,1.8,3.0,1.3,0.6,0.1,1.6,21.4,0,0,0.8,2017,0,False,0.47,G,67.3,11.4,2017
76,Rudy Gobert,UTA,25,81,51,30,33.9,14.0,7.7,66.1,0.0,0.0,5.9,65.3,3.9,8.9,12.8,1.2,1.8,0.6,2.6,3.0,39.1,58,0,5.4,2017,0,True,0.63,C,44.4,-12.2,2017
77,Al Horford,BOS,31,68,46,22,32.3,14.0,11.8,47.3,3.6,35.5,2.0,80.0,1.4,5.4,6.8,5.0,1.7,0.8,1.3,2.0,34.0,8,0,3.2,2017,1,False,0.68,C,55.4,-0.4,2017
78,Marcus Morris Sr.,DET,27,79,36,43,32.5,14.0,12.7,41.8,4.5,33.1,2.3,78.4,1.0,3.7,4.6,2.0,1.1,0.7,0.3,2.1,24.4,5,0,-1.3,2017,0,False,0.46,F,53.0,-3.9,2017
79,Markieff Morris,WAS,27,76,45,31,31.2,14.0,11.7,45.7,2.6,36.2,2.8,83.7,1.4,5.1,6.5,1.7,1.7,1.1,0.6,3.3,27.5,9,0,2.4,2017,0,False,0.59,F,54.1,-1.9,2017
80,Jae Crowder,BOS,26,72,48,24,32.4,13.9,10.0,46.3,5.5,39.8,3.0,81.1,0.7,5.1,5.8,2.2,1.1,1.0,0.3,2.2,26.9,7,0,4.9,2017,0,False,0.67,F,60.1,3.7,2017
81,Kentavious Caldwell-Pope,DET,24,76,33,43,33.3,13.8,12.2,39.9,5.8,35.0,2.4,83.2,0.7,2.5,3.3,2.5,1.1,1.2,0.2,1.6,24.4,1,0,-1.9,2017,0,False,0.43,G,65.5,10.4,2017
82,Bojan Bogdanovic,WAS,28,81,23,58,25.7,13.7,10.4,44.5,4.8,36.7,3.0,89.3,0.5,3.0,3.4,1.4,1.6,0.4,0.1,1.8,19.8,0,0,-3.3,2017,0,False,0.28,G,57.3,1.6,2017
83,Tyler Johnson,MIA,25,73,35,38,29.8,13.7,11.3,43.3,3.4,37.2,3.5,76.8,0.7,3.3,4.0,3.2,1.2,1.2,0.6,2.4,27.4,0,0,0.5,2017,0,False,0.48,G,53.4,0.7,2017
84,Will Barton,DEN,26,60,31,29,28.4,13.7,11.1,44.3,3.9,37.0,3.2,75.3,1.0,3.4,4.3,3.4,1.6,0.8,0.5,1.8,26.2,2,0,-1.3,2017,0,False,0.52,G-F,59.0,3.5,2017
85,Andre Drummond,DET,23,81,36,45,29.7,13.6,11.2,53.0,0.1,28.6,4.4,38.6,4.3,9.5,13.8,1.1,1.9,1.5,1.1,2.9,37.8,49,0,-3.4,2017,1,False,0.44,C,57.2,0.7,2017
86,Ryan Anderson,HOU,29,72,50,22,29.4,13.6,10.7,41.8,7.0,40.3,2.1,86.0,1.6,3.0,4.6,0.9,0.8,0.4,0.2,2.0,21.6,2,0,5.7,2017,0,False,0.69,F,60.0,4.3,2017
87,Dwight Howard,ATL,31,74,37,37,29.7,13.5,8.3,63.3,0.0,0.0,5.7,53.3,4.0,8.7,12.7,1.4,2.3,0.9,1.2,2.7,34.9,53,0,-1.5,2017,8,False,0.5,C,48.1,-8.4,2017
88,Wesley Matthews,DAL,30,73,29,44,34.2,13.5,11.6,39.3,6.6,36.3,2.5,81.6,0.2,3.3,3.5,2.9,1.4,1.1,0.2,2.2,24.5,0,0,-2.6,2017,0,False,0.4,G-F,58.4,2.3,2017
89,Otto Porter Jr.,WAS,24,80,48,32,32.6,13.4,10.0,51.6,4.3,43.4,1.5,83.2,1.5,5.0,6.4,1.5,0.6,1.5,0.5,2.4,28.8,12,0,2.4,2017,0,False,0.6,F,56.3,0.4,2017
90,Darren Collison,SAC,29,68,26,42,30.3,13.2,10.5,47.6,2.6,41.7,2.5,86.0,0.3,1.9,2.2,4.6,1.7,1.0,0.1,1.8,24.5,4,0,-1.9,2017,0,False,0.38,G,60.3,5.9,2017
91,Nick Young,LAL,32,60,19,41,25.9,13.2,10.6,43.0,7.0,40.4,1.5,85.6,0.4,1.9,2.3,1.0,0.6,0.6,0.2,2.3,19.3,0,0,-3.5,2017,0,False,0.32,G-F,67.3,11.2,2017
92,Julius Randle,LAL,22,74,24,50,28.8,13.2,10.4,48.8,0.9,27.0,3.8,72.3,2.0,6.6,8.6,3.6,2.3,0.7,0.5,3.4,30.0,18,3,-6.1,2017,0,False,0.32,F,60.4,3.6,2017
93,Sean Kilpatrick,BKN,27,70,14,56,25.1,13.1,10.5,41.5,4.4,34.1,3.5,84.3,0.3,3.7,4.0,2.2,1.9,0.6,0.1,1.7,21.6,4,0,-3.2,2017,0,False,0.2,G,66.7,10.4,2017
94,Ersan Ilyasova,ATL,30,82,35,47,26.1,13.1,10.9,43.1,4.9,35.3,2.5,77.8,1.4,4.5,5.9,1.7,1.4,0.7,0.3,2.6,24.2,10,0,-0.4,2017,0,False,0.43,F,55.6,-0.5,2017
95,Robert Covington,PHI,26,67,27,40,31.6,12.9,10.9,39.9,6.1,33.3,2.6,82.2,1.4,5.1,6.5,1.5,2.0,1.9,1.0,3.0,29.8,12,0,-2.3,2017,0,False,0.4,F,53.6,-1.6,2017
96,Dario Saric,PHI,23,81,28,53,26.3,12.8,11.4,41.1,4.2,31.1,2.7,78.2,1.4,5.0,6.3,2.2,2.3,0.7,0.4,2.0,24.8,10,0,-3.8,2017,0,False,0.35,F,53.7,-2.0,2017
97,James Johnson,MIA,30,76,40,36,27.4,12.8,10.1,47.9,3.4,34.0,2.8,70.7,0.9,4.1,4.9,3.6,2.3,1.0,1.1,2.6,28.4,4,0,1.8,2017,0,False,0.53,F,47.9,-7.8,2017
98,Seth Curry,DAL,26,70,30,40,29.0,12.8,10.0,48.1,4.6,42.5,1.4,85.0,0.4,2.2,2.6,2.7,1.3,1.1,0.1,1.8,22.3,1,0,-0.5,2017,0,False,0.43,G,59.8,3.8,2017
99,Elfrid Payton,ORL,23,82,29,53,29.4,12.8,11.1,47.1,1.8,27.4,2.6,69.2,1.1,3.6,4.7,6.5,2.2,1.1,0.5,2.2,30.6,18,5,-1.8,2017,0,False,0.35,G,56.8,2.6,2017
100,Aaron Gordon,ORL,21,80,29,51,28.7,12.7,10.8,45.4,3.3,28.8,2.7,71.9,1.5,3.6,5.1,1.9,1.1,0.8,0.5,2.2,24.5,7,0,-2.0,2017,0,False,0.36,F,55.0,-1.2,2017
101,DeAndre Jordan,LAC,28,81,51,30,31.7,12.7,7.1,71.4,0.0,0.0,5.2,48.2,3.7,10.1,13.8,1.2,1.4,0.6,1.7,2.6,36.4,41,0,5.6,2017,2,True,0.63,C,50.9,-5.7,2017
102,Rodney Hood,UTA,24,59,40,19,27.0,12.7,11.3,40.8,5.2,37.1,1.9,78.3,0.3,3.2,3.4,1.6,1.1,0.6,0.2,2.2,20.6,0,0,1.8,2017,0,False,0.68,G,55.8,1.0,2017
103,Clint Capela,HOU,23,65,44,21,23.9,12.6,8.7,64.3,0.0,0.0,2.7,53.1,2.7,5.4,8.1,1.0,1.3,0.5,1.2,2.8,27.6,15,0,3.3,2017,0,False,0.68,C,54.4,-1.8,2017
104,Pau Gasol,SAS,36,64,47,17,25.4,12.4,9.4,50.2,1.6,53.8,2.9,70.7,1.7,6.2,7.8,2.3,1.3,0.4,1.1,1.7,28.4,11,0,3.5,2017,4,False,0.73,C,50.9,-6.2,2017
105,Jamal Crawford,LAC,37,82,51,31,26.3,12.3,10.6,41.3,3.9,36.0,2.5,85.7,0.2,1.4,1.6,2.6,1.6,0.7,0.2,1.4,19.2,0,0,0.3,2017,0,False,0.62,G,61.8,6.8,2017
106,Austin Rivers,LAC,24,74,43,31,27.8,12.0,9.9,44.2,4.0,37.1,2.6,69.1,0.3,1.9,2.2,2.8,1.6,0.6,0.1,2.5,19.6,0,0,-0.1,2017,0,False,0.58,G,54.3,-0.6,2017
107,Jonas Valanciunas,TOR,25,80,50,30,25.8,12.0,8.8,55.7,0.0,50.0,2.7,81.1,2.8,6.7,9.5,0.7,1.3,0.5,0.8,2.7,26.9,29,0,1.4,2017,0,False,0.62,C,53.7,-3.1,2017
108,Jahlil Okafor,PHI,21,50,15,35,22.7,11.8,9.4,51.4,0.0,0.0,3.2,67.1,1.6,3.2,4.8,1.2,1.8,0.4,1.0,2.4,21.6,2,0,-6.4,2017,0,False,0.3,C,54.2,-1.8,2017
109,Greg Monroe,MIL,27,81,42,39,22.5,11.7,9.0,53.3,0.0,0.0,3.0,74.1,2.1,4.5,6.6,2.3,1.7,1.1,0.5,2.1,26.2,13,0,1.7,2017,0,False,0.52,C,60.4,4.6,2017
110,Trevor Ariza,HOU,32,80,53,27,34.7,11.7,10.0,40.9,6.9,34.4,1.6,73.8,0.7,5.1,5.7,2.2,0.9,1.8,0.3,1.7,27.2,3,0,4.6,2017,0,False,0.66,F,62.3,5.7,2017
