,Player,Team,AGE,GP_x,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,year
0,Russell Westbrook,OKC,26,67,40,27,34.4,28.1,22.0,42.6,4.3,29.9,9.8,83.5,1.9,5.4,7.3,8.6,4.4,2.1,0.2,2.7,52.3,31,11,3.7,2015,3,True,0.6,G,63.7,9.7,2015
1,James Harden,HOU,25,81,56,25,36.8,27.4,18.1,44.0,6.9,37.5,10.2,86.8,0.9,4.7,5.7,7.0,4.0,1.9,0.7,2.6,48.6,21,4,4.1,2015,2,True,0.69,G,57.5,3.1,2015
2,Kevin Durant,OKC,26,27,18,9,33.8,25.4,17.3,51.0,5.9,40.3,6.3,85.4,0.6,6.0,6.6,4.1,2.7,0.9,0.9,1.5,42.1,5,0,6.2,2015,5,False,0.67,F,51.2,-3.2,2015
3,LeBron James,CLE,30,69,50,19,36.1,25.3,18.5,48.8,4.9,35.4,7.7,71.0,0.7,5.3,6.0,7.4,3.9,1.6,0.7,2.0,46.5,22,2,7.8,2015,10,True,0.72,F,56.2,2.2,2015
4,Anthony Davis,NOP,22,68,39,29,36.1,24.4,17.6,53.5,0.2,8.3,6.8,80.5,2.5,7.7,10.2,2.2,1.4,1.5,2.9,2.1,51.8,42,0,3.9,2015,0,True,0.57,F-C,48.6,-5.8,2015
5,Carmelo Anthony,NYK,31,40,10,30,35.7,24.2,20.2,44.4,4.5,34.1,5.9,79.7,1.8,4.8,6.6,3.1,2.2,1.0,0.4,2.2,38.7,5,0,-2.7,2015,6,False,0.25,F,65.0,10.1,2015
6,DeMarcus Cousins,SAC,24,59,23,36,34.1,24.1,18.1,46.7,0.1,25.0,9.2,78.2,3.1,9.5,12.7,3.6,4.3,1.5,1.7,4.1,50.1,47,2,1.0,2015,0,True,0.39,C,48.6,-5.9,2015
7,Stephen Curry,GSW,27,80,67,13,32.7,23.8,16.8,48.7,8.1,44.3,4.2,91.4,0.7,3.6,4.3,7.7,3.1,2.0,0.2,2.0,44.1,23,0,11.5,2015,1,True,0.84,G,55.7,3.3,2015
8,LaMarcus Aldridge,POR,29,71,48,23,35.4,23.4,19.9,46.6,1.5,35.2,5.1,84.5,2.5,7.7,10.2,1.7,1.7,0.7,1.0,1.8,41.5,39,0,4.8,2015,2,True,0.68,F,49.1,-5.2,2015
9,Kobe Bryant,LAL,36,35,10,25,34.5,22.3,20.4,37.3,5.3,29.3,6.9,81.3,0.7,4.9,5.7,5.6,3.7,1.3,0.2,1.9,38.6,4,2,-8.4,2015,15,False,0.29,G,62.8,8.1,2015
