,name,game_participate,minutes,pts,FGM,FGA,FG%,3PM,3PA,3P%,EFG%
0,Aaron Gordon,75,31.7,3.1,1.1,2.9,37.0,0.9,2.6,36.0,53.2
1,Aaron Henry,6,2.8,0.0,0.0,0.0,-,0.0,0.0,-,-
2,Aaron Holiday,63,16.2,1.2,0.4,1.2,34.7,0.4,1.2,35.1,52.0
3,Aaron Nesmith,52,11.0,1.7,0.6,2.0,29.1,0.5,1.9,28.6,42.7
4,Aaron Wiggins,50,24.2,2.3,0.8,2.5,31.0,0.8,2.5,31.0,46.4
5,Abdel Nader,14,10.4,0.9,0.3,0.8,36.4,0.3,0.8,36.4,54.5
6,Ade Murkey,1,1.5,0.0,0.0,0.0,-,-,-,-,-
7,Admiral Schofield,38,12.3,1.9,0.7,1.9,34.2,0.6,1.9,33.8,50.7
8,Ahmad Caver,1,0.8,0.0,0.0,0.0,-,-,-,-,-
9,Al Horford,69,29.1,4.1,1.5,4.1,35.7,1.2,3.6,32.8,49.8
10,Alec Burks,81,28.6,3.9,1.3,3.1,41.9,1.2,3.0,41.8,61.7
11,Aleem Ford,5,14.7,1.2,0.4,3.0,13.3,0.4,3.0,13.3,20.0
12,Aleksej Pokusevski,61,20.2,2.6,0.9,2.9,30.3,0.9,2.8,31.0,44.9
13,Alex Caruso,41,28.0,2.7,0.9,2.6,34.6,0.9,2.5,35.6,51.9
14,Alex Len,39,15.9,0.8,0.3,1.0,34.2,0.2,0.5,28.6,42.1
15,Alfonzo McKinnie,17,12.1,1.6,0.5,1.5,34.6,0.5,1.5,36.0,51.9
16,Alize Johnson,23,7.3,0.1,0.0,0.2,25.0,0.0,0.1,0.0,25.0
17,Alperen Sengun,72,20.7,1.2,0.4,1.4,29.8,0.4,1.3,27.7,42.3
18,Amir Coffey,69,22.7,3.6,1.2,3.1,38.7,1.2,3.0,38.9,57.8
19,Andre Drummond,73,19.7,0.0,0.0,0.1,20.0,0.0,0.0,-,20.0
20,Andre Iguodala,31,19.4,1.5,0.5,1.9,25.0,0.5,1.9,25.4,37.5
21,Andrew Wiggins,73,31.9,5.4,1.8,4.5,41.2,1.8,4.3,41.0,60.9
22,Anfernee Simons,57,29.5,5.7,1.9,4.0,47.8,1.9,4.0,47.8,71.5
23,Anthony Davis,40,35.1,2.6,1.2,3.5,33.6,0.3,1.6,17.5,37.5
24,Anthony Edwards,72,34.2,4.0,1.4,3.3,42.1,1.3,3.1,41.3,61.7
25,Anthony Gill,44,10.5,1.0,0.3,0.6,55.6,0.3,0.6,53.8,81.5
26,Anthony Lamb,2,3.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27,Armoni Brooks,54,15.6,2.5,0.8,2.8,30.0,0.8,2.8,30.0,45.0
28,Arnoldas Kulboka,2,2.7,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
29,Austin Reaves,61,23.2,2.4,0.8,2.2,36.0,0.8,2.2,35.6,53.3
30,Austin Rivers,67,22.1,2.7,0.9,2.4,37.0,0.9,2.4,37.0,55.6
31,Avery Bradley,62,22.7,3.6,1.2,3.0,40.7,1.1,2.9,38.5,59.0
32,Ayo Dosunmu,77,27.4,2.8,0.9,2.4,38.9,0.9,2.3,38.4,57.3
33,BJ Johnson,4,16.1,4.0,1.5,3.0,50.0,1.0,2.3,44.4,66.7
34,Bam Adebayo,56,32.6,0.9,0.5,1.2,38.8,0.0,0.0,0.0,38.8
35,Ben McLemore,64,20.1,6.2,2.1,5.6,37.8,2.0,5.2,37.7,55.5
36,Bismack Biyombo,36,14.1,0.1,0.0,0.2,12.5,-,-,-,12.5
37,Blake Griffin,56,17.1,1.7,0.6,2.2,25.6,0.6,2.1,26.3,38.4
38,Boban Marjanovic,23,5.6,0.5,0.2,0.6,38.5,0.0,0.2,25.0,42.3
39,Bobby Portis,72,28.2,6.0,2.1,5.2,40.5,1.8,4.5,39.0,57.5
40,Bogdan Bogdanovic,63,29.3,5.7,2.0,5.0,39.9,1.7,4.6,38.2,57.5
41,Bojan Bogdanovic,69,30.9,6.2,2.1,5.4,38.9,2.0,5.3,38.8,58.0
42,Bol Bol,14,5.8,0.2,0.1,0.3,25.0,0.1,0.3,25.0,37.5
43,Bones Hyland,69,19.0,3.4,1.1,3.0,37.1,1.1,3.0,36.7,55.2
44,Brad Wanamaker,23,13.9,0.5,0.2,0.3,50.0,0.2,0.3,50.0,75.0
45,Bradley Beal,40,36.0,2.6,0.9,3.0,29.4,0.8,2.7,29.6,42.9
46,Brandon Boston Jr.,51,14.9,1.0,0.3,1.0,32.1,0.3,1.0,32.7,48.1
47,Brandon Clarke,64,19.5,0.7,0.3,0.8,38.8,0.1,0.3,22.7,43.9
48,Brandon Goodwin,36,13.9,0.9,0.3,0.9,35.5,0.3,0.9,35.5,53.2
49,Brandon Ingram,55,34.0,5.1,2.0,4.8,41.3,1.1,3.1,36.3,53.0
50,Brandon Knight,5,12.9,1.8,0.6,1.8,33.3,0.6,1.8,33.3,50.0
51,Brandon Williams,24,26.7,2.8,1.0,2.6,36.5,0.9,2.5,34.4,53.2
52,Braxton Key,11,17.9,1.4,0.5,1.6,27.8,0.5,1.5,29.4,41.7
53,Brodric Thomas,12,5.0,0.3,0.1,0.5,16.7,0.1,0.5,16.7,25.0
54,Brook Lopez,13,23.0,4.1,1.4,4.0,34.6,1.3,3.5,37.0,51.0
55,Bruce Brown,72,24.6,1.8,0.6,1.7,37.8,0.5,1.3,40.7,53.4
56,Bruno Fernando,30,5.1,0.1,0.0,0.1,33.3,0.0,0.1,50.0,50.0
57,Bryn Forbes,75,17.1,4.3,1.5,3.6,41.6,1.3,3.2,41.6,60.4
58,Buddy Hield,81,30.8,6.7,2.3,5.8,39.1,2.2,5.6,39.1,58.1
59,CJ Elleby,58,20.2,2.0,0.7,2.2,31.2,0.6,2.0,30.8,45.6
60,CJ McCollum,62,34.6,4.6,1.6,3.6,43.6,1.5,3.4,43.1,63.6
61,CJ Miles,1,2.0,0.0,0.0,0.0,-,-,-,-,-
62,Cade Cunningham,64,32.6,3.5,1.2,3.8,32.1,1.1,3.5,32.3,47.1
63,Caleb Martin,60,22.9,2.5,0.9,2.1,39.8,0.8,2.0,40.2,58.2
64,Cam Reddish,49,20.7,3.2,1.1,2.8,37.4,1.0,2.7,38.9,55.8
65,Cam Thomas,67,17.6,1.3,0.4,1.5,29.3,0.4,1.4,28.7,42.9
66,Cameron Johnson,66,26.2,7.1,2.4,5.6,42.2,2.3,5.4,43.0,63.0
67,Cameron McGriff,3,15.3,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0
68,Cameron Oliver,2,21.7,1.5,0.5,1.5,33.3,0.5,1.5,33.3,50.0
69,Cameron Payne,58,22.0,2.1,0.7,2.0,35.1,0.7,1.9,36.0,52.6
70,Caris LeVert,58,30.7,2.3,0.8,1.9,40.0,0.7,1.8,40.6,59.5
71,Carlik Jones,5,4.7,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
72,Carmelo Anthony,69,26.0,6.0,2.1,5.5,38.2,1.9,5.0,37.5,55.3
73,Carsen Edwards,4,19.8,0.8,0.3,1.5,16.7,0.3,1.5,16.7,25.0
74,Cassius Stanley,9,17.2,1.3,0.4,1.7,26.7,0.4,1.7,26.7,40.0
75,Cassius Winston,7,5.6,0.9,0.3,0.6,50.0,0.3,0.6,50.0,75.0
76,Cat Barber,3,4.3,0.0,0.0,0.0,-,-,-,-,-
77,Cedi Osman,66,22.1,4.5,1.5,4.3,34.8,1.5,4.3,34.9,52.1
78,Chandler Hutchison,6,3.7,0.0,0.0,0.0,-,-,-,-,-
79,Charles Bassey,23,7.3,0.2,0.1,0.3,28.6,0.0,0.1,0.0,28.6
80,Charlie Brown Jr.,22,8.1,0.1,0.0,0.5,8.3,0.0,0.5,9.1,12.5
81,Chaundee Brown Jr.,5,20.7,3.0,1.0,3.2,31.3,1.0,3.2,31.3,46.9
82,Cheick Diallo,3,10.2,0.0,0.0,0.0,-,-,-,-,-
83,Chimezie Metu,60,21.3,2.7,0.9,2.9,31.8,0.9,2.8,31.5,46.8
84,Chris Boucher,80,21.1,2.6,0.9,2.9,31.0,0.8,2.7,30.4,45.4
85,Chris Chiozza,34,10.9,1.1,0.4,1.1,36.1,0.4,1.1,36.1,54.2
86,Chris Duarte,55,28.0,3.3,1.1,2.8,40.0,1.0,2.6,40.4,58.4
87,Chris Paul,65,32.9,1.0,0.3,0.8,40.0,0.3,0.8,35.3,56.4
88,Chris Silva,10,9.1,0.0,0.0,0.1,0.0,-,-,-,0.0
89,Christian Wood,68,30.8,4.3,1.4,3.7,38.2,1.4,3.6,39.7,57.1
90,Chuma Okeke,70,25.0,4.4,1.5,4.5,32.7,1.5,4.4,33.1,49.0
91,Clint Capela,74,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Coby White,61,27.5,5.6,1.9,4.6,40.4,1.9,4.6,40.6,60.5
93,Cody Martin,71,26.3,2.3,0.8,2.1,36.5,0.7,2.0,36.9,54.1
94,Cody Zeller,27,13.1,0.3,0.1,0.3,57.1,0.0,0.1,0.0,57.1
95,Cole Anthony,65,31.7,3.8,1.3,3.5,35.7,1.3,3.5,36.3,53.5
96,Collin Sexton,11,28.8,1.9,0.6,2.8,22.6,0.6,2.7,23.3,33.9
97,Corey Kispert,77,23.4,4.2,1.4,3.9,35.4,1.4,3.9,35.6,53.0
98,Cory Joseph,65,24.6,2.5,0.8,1.9,44.4,0.8,1.9,44.3,66.1
99,Craig Sword,3,6.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
100,D'Angelo Russell,65,31.9,4.3,1.5,4.1,35.4,1.4,4.0,34.4,52.1
101,D.J. Augustin,55,16.1,2.7,0.9,1.9,49.0,0.9,1.8,48.5,73.0
102,D.J. Wilson,4,13.5,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
103,DaQuan Jeffries,3,2.9,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
104,Daishen Nix,24,10.9,0.5,0.2,0.6,28.6,0.2,0.6,28.6,42.9
105,Dakota Mathias,6,2.7,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
106,Dalano Banton,64,10.9,0.4,0.1,0.6,20.0,0.1,0.6,21.1,30.0
107,Damian Jones,56,18.2,1.2,0.5,1.0,48.3,0.2,0.5,34.6,56.0
108,Damian Lillard,29,36.4,2.9,1.0,2.8,34.6,0.9,2.6,36.5,51.2
109,Damion Lee,63,19.9,2.7,0.9,2.8,33.0,0.9,2.6,32.9,48.3
110,Damyean Dotson,2,10.3,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
111,Daniel Gafford,72,20.1,0.0,0.0,0.2,8.3,0.0,0.0,0.0,8.3
112,Daniel Oturu,3,9.1,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
113,Daniel Theis,47,20.8,2.6,1.0,3.0,32.4,0.7,2.2,30.8,43.9
114,Danilo Gallinari,66,25.3,4.8,1.6,3.9,41.9,1.5,3.6,41.9,61.0
115,Danny Green,62,21.8,4.6,1.5,3.7,41.1,1.5,3.7,41.4,61.5
116,Danuel House Jr.,42,17.3,2.7,0.9,2.3,38.8,0.9,2.3,39.2,58.2
117,Darius Bazley,69,27.9,3.1,1.1,3.4,31.1,1.0,3.3,31.0,46.2
118,Darius Garland,68,35.7,3.4,1.2,3.1,38.4,1.0,2.8,35.4,54.3
119,Darren Collison,3,12.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
120,David Duke Jr.,22,15.5,1.2,0.4,1.4,29.0,0.4,1.4,29.0,43.5
121,David Johnson,2,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
122,David Nwaba,46,13.2,0.8,0.3,1.0,28.3,0.3,1.0,28.3,42.4
123,Davion Mitchell,75,27.7,2.3,0.8,2.3,32.6,0.8,2.3,32.8,48.9
124,Davis Bertans,56,14.4,3.8,1.3,3.8,34.0,1.2,3.7,33.3,50.2
125,Davon Reed,48,13.9,1.9,0.6,1.5,44.3,0.6,1.4,45.6,66.4
126,Day'Ron Sharpe,32,12.2,0.3,0.1,0.3,33.3,0.1,0.2,28.6,44.4
127,De'Aaron Fox,59,35.3,1.6,0.5,1.6,34.0,0.5,1.5,35.2,50.5
128,De'Andre Hunter,53,29.8,4.2,1.5,3.8,38.5,1.2,3.3,38.2,55.0
129,De'Anthony Melton,73,22.7,4.5,1.5,3.7,40.7,1.5,3.6,40.6,60.4
130,DeAndre Jordan,48,13.0,0.0,0.0,0.0,0.0,-,-,-,0.0
131,DeAndre' Bembry,56,18.3,0.8,0.3,0.7,37.5,0.3,0.6,40.0,55.0
132,DeJon Jarreau,1,0.9,0.0,0.0,0.0,-,-,-,-,-
133,DeMar DeRozan,76,36.1,2.5,0.9,2.5,38.1,0.6,1.6,36.1,49.5
134,DeMarcus Cousins,48,14.9,2.2,0.8,2.5,29.5,0.7,2.4,30.4,43.9
135,Dean Wade,51,19.2,3.0,1.0,2.8,36.9,1.0,2.7,36.2,54.6
136,Deandre Ayton,58,29.5,2.9,1.4,2.6,53.7,0.1,0.3,37.5,55.7
137,Deividas Sirvydis,3,8.9,1.0,0.3,2.0,16.7,0.3,2.0,16.7,25.0
138,Dejounte Murray,68,34.8,2.7,0.9,2.6,35.4,0.9,2.5,34.5,52.0
139,Delon Wright,77,18.9,1.2,0.4,1.1,38.1,0.4,1.0,38.0,56.0
140,Deni Avdija,82,24.2,2.8,0.9,2.9,32.0,0.9,2.8,31.7,47.1
141,Dennis Schroder,64,28.7,2.9,1.0,2.9,33.5,0.9,2.7,34.1,49.5
142,Dennis Smith Jr.,37,17.3,0.2,0.1,0.4,20.0,0.1,0.4,20.0,30.0
143,Denzel Valentine,24,9.2,2.3,0.8,1.6,46.2,0.8,1.6,46.2,69.2
144,Derrick Favors,39,16.7,1.9,0.9,2.1,43.4,0.1,0.4,12.5,44.6
145,Derrick Jones Jr.,51,17.6,1.2,0.4,1.2,33.3,0.4,1.2,32.2,49.2
146,Derrick Rose,26,24.5,2.7,0.9,2.1,42.6,0.9,2.1,42.6,63.9
147,Derrick Walton Jr.,3,36.1,3.0,1.0,3.3,30.0,1.0,3.3,30.0,45.0
148,Derrick White,75,29.3,3.6,1.2,3.8,31.8,1.2,3.7,31.8,47.4
149,Desmond Bane,76,29.8,5.3,1.8,4.1,43.6,1.7,3.8,44.0,64.0
150,Devin Booker,68,34.5,4.5,1.6,3.6,43.5,1.3,3.0,43.6,61.5
151,Devin Cannady,5,28.9,8.4,2.8,6.8,41.2,2.8,6.6,42.4,61.8
152,Devin Vassell,71,27.3,5.7,1.9,5.0,38.4,1.8,4.8,37.9,56.3
153,Devon Dotson,11,7.7,0.5,0.2,0.8,22.2,0.2,0.8,22.2,33.3
154,Devontae Cacok,15,8.1,0.0,0.0,0.0,-,-,-,-,-
155,Devonte' Graham,76,28.4,5.3,1.8,4.6,39.2,1.8,4.4,39.8,58.5
156,Dewayne Dedmon,67,15.9,1.1,0.4,1.0,39.1,0.3,0.7,40.9,52.2
157,Didi Louzada,9,14.4,2.6,0.9,2.1,42.1,0.8,2.0,38.9,60.5
158,Dillon Brooks,32,27.7,2.7,0.9,2.7,35.3,0.8,2.4,33.8,50.6
159,Domantas Sabonis,62,34.4,2.2,0.8,2.3,34.5,0.6,1.8,32.5,47.5
160,Donovan Mitchell,67,33.8,3.7,1.3,3.6,34.9,1.2,3.5,34.6,51.9
161,Donte DiVincenzo,42,23.9,4.2,1.4,3.9,36.0,1.4,3.9,36.2,54.0
162,Dorian Finney-Smith,80,33.0,6.2,2.1,5.2,40.0,2.0,5.1,40.1,59.7
163,Doug McDermott,51,24.0,5.4,1.8,4.4,41.3,1.7,4.1,41.7,60.9
164,Draymond Green,46,28.9,1.3,0.5,1.3,33.9,0.3,1.1,31.4,46.8
165,Drew Eubanks,71,17.5,0.7,0.3,0.8,38.9,0.1,0.3,21.7,43.5
166,Duane Washington Jr.,48,20.2,4.1,1.4,3.3,40.6,1.4,3.3,41.4,60.9
167,Duncan Robinson,79,25.9,6.3,2.1,6.1,34.9,2.1,6.0,34.7,52.1
168,Dwight Howard,60,16.2,0.4,0.1,0.3,40.0,0.1,0.2,58.3,57.5
169,Dwight Powell,82,21.9,0.5,0.2,0.5,29.5,0.1,0.4,37.5,43.2
170,Dylan Windler,50,9.2,1.2,0.4,1.3,31.8,0.4,1.3,30.8,47.0
171,Ed Davis,31,6.5,0.0,0.0,0.0,-,-,-,-,-
172,Elfrid Payton,50,11.0,0.2,0.1,0.3,17.6,0.1,0.3,20.0,26.5
173,Elijah Hughes,36,12.1,1.3,0.4,2.1,21.1,0.4,2.1,21.3,31.6
174,Emanuel Terry,3,6.1,0.0,0.0,0.0,-,-,-,-,-
175,Emmanuel Mudiay,2,5.5,0.0,0.0,0.0,-,-,-,-,-
176,Enes Freedom,35,11.8,0.2,0.1,0.2,50.0,0.0,0.1,33.3,58.3
177,Eric Bledsoe,54,25.2,2.2,0.7,1.9,38.5,0.7,1.9,38.6,57.2
178,Eric Gordon,57,29.3,4.2,1.4,3.3,42.6,1.4,3.3,42.8,63.8
179,Eric Paschall,58,12.7,2.1,0.7,1.9,38.5,0.7,1.8,37.1,56.4
180,Eugene Omoruyi,4,4.5,0.8,0.3,0.5,50.0,0.3,0.5,50.0,75.0
181,Evan Fournier,80,29.5,5.9,2.0,5.0,40.1,1.9,4.8,39.9,59.3
182,Evan Mobley,69,33.8,1.4,0.6,1.9,29.8,0.3,1.2,25.9,37.8
183,Facundo Campazzo,65,18.2,1.9,0.6,2.0,32.0,0.6,2.0,32.0,48.0
184,Feron Hunt,2,4.2,0.0,0.0,0.0,-,-,-,-,-
185,Frank Jackson,53,22.0,4.0,1.4,4.1,32.9,1.3,4.1,32.6,48.9
186,Frank Kaminsky,9,20.1,1.9,0.7,2.0,33.3,0.6,1.7,33.3,47.2
187,Frank Ntilikina,58,11.8,1.9,0.7,1.7,39.4,0.6,1.5,36.4,55.6
188,Franz Wagner,79,30.7,2.4,0.8,2.2,36.6,0.8,2.1,37.7,54.4
189,Fred VanVleet,65,37.9,6.1,2.0,4.7,43.3,2.0,4.6,43.3,64.5
190,Freddie Gillespie,9,13.2,0.2,0.1,0.3,33.3,0.0,0.1,0.0,33.3
191,Furkan Korkmaz,67,21.1,2.5,0.9,2.8,30.6,0.8,2.7,30.4,45.4
192,Gabe Vincent,68,23.4,3.4,1.1,3.0,38.8,1.1,2.9,38.6,57.7
193,Gabe York,2,10.7,1.5,0.5,2.5,20.0,0.5,2.5,20.0,30.0
194,Gabriel Deck,7,7.9,0.9,0.3,0.7,40.0,0.3,0.6,50.0,60.0
195,Gabriel Lundberg,4,11.1,1.5,0.5,1.3,40.0,0.5,1.0,50.0,60.0
196,Garrett Temple,59,18.6,2.8,0.9,2.7,34.6,0.9,2.6,34.0,50.9
197,Garrison Mathews,65,26.3,5.6,1.9,5.1,37.0,1.8,5.0,36.8,55.2
198,Gary Clark,38,10.0,1.7,0.6,1.5,36.8,0.6,1.5,36.8,55.3
199,Gary Harris,61,28.4,5.1,1.7,4.1,42.1,1.6,4.0,41.3,61.9
200,Gary Payton II,71,17.6,1.8,0.6,1.6,37.4,0.6,1.6,37.7,56.1
201,Gary Trent Jr.,70,35.0,5.8,1.9,4.7,40.8,1.9,4.7,41.1,61.0
202,George Hill,54,23.2,2.1,0.7,2.0,36.8,0.7,1.9,35.6,54.2
203,George King,4,4.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
204,Georges Niang,76,22.8,5.9,2.0,4.9,39.9,1.9,4.9,40.1,59.8
205,Georgios Kalaitzakis,13,16.4,1.8,0.6,1.8,33.3,0.6,1.7,36.4,50.0
206,Giannis Antetokounmpo,67,32.9,0.9,0.3,1.0,34.4,0.3,0.8,34.5,49.2
207,Goga Bitadze,50,14.6,1.4,0.5,1.6,29.3,0.5,1.5,31.1,43.3
208,Goran Dragic,21,23.7,2.0,0.7,2.3,29.2,0.7,2.3,29.2,43.8
209,Gordon Hayward,49,31.9,4.5,1.6,4.1,39.5,1.3,3.5,37.4,55.5
210,Gorgui Dieng,44,8.4,1.5,0.5,1.4,38.1,0.5,1.2,37.0,54.0
211,Grant Williams,77,24.4,3.9,1.3,3.1,41.5,1.3,3.1,41.7,61.8
212,Grayson Allen,66,27.3,5.6,1.9,4.7,39.9,1.9,4.7,40.1,59.9
213,Greg Brown III,48,13.3,1.1,0.4,1.3,29.5,0.4,1.2,30.4,43.4
214,Greg Monroe,14,13.9,0.0,0.0,0.0,-,-,-,-,-
215,Hamidou Diallo,58,21.9,1.2,0.4,1.6,25.3,0.3,1.4,24.1,35.3
216,Harrison Barnes,77,33.6,4.4,1.5,3.5,42.1,1.5,3.5,42.4,63.1
217,Hassan Whiteside,65,17.9,0.2,0.1,0.2,40.0,-,-,-,40.0
218,Hassani Gravett,8,21.4,3.4,1.1,2.0,56.3,1.1,1.9,60.0,84.4
219,Haywood Highsmith,19,8.6,1.6,0.6,1.4,40.7,0.5,1.3,37.5,57.4
220,Herbert Jones,78,29.9,2.6,0.9,2.6,36.0,0.7,2.1,35.2,50.3
221,Ignas Brazdeikis,42,12.8,1.6,0.5,1.7,31.9,0.5,1.7,31.9,47.9
222,Immanuel Quickley,78,23.1,1.7,0.6,1.7,32.1,0.6,1.7,32.6,48.1
223,Isaac Bonga,15,4.6,0.2,0.1,0.3,20.0,0.1,0.3,25.0,30.0
224,Isaac Okoro,67,29.6,2.4,0.8,2.1,36.8,0.8,2.1,36.8,55.2
225,Isaiah Hartenstein,68,17.9,1.2,0.5,0.9,57.6,0.2,0.3,50.0,66.9
226,Isaiah Jackson,36,15.0,0.5,0.2,0.6,35.0,0.1,0.4,28.6,45.0
227,Isaiah Joe,55,11.1,2.3,0.8,2.1,36.4,0.8,2.1,36.4,54.7
228,Isaiah Livers,19,20.2,4.1,1.4,3.2,42.6,1.4,3.2,42.6,63.9
229,Isaiah Roby,45,21.1,2.3,0.8,2.0,38.0,0.7,1.8,39.5,55.4
230,Isaiah Stewart,71,25.6,0.8,0.3,0.9,32.8,0.2,0.6,30.2,42.5
231,Isaiah Thomas,22,15.2,2.4,0.8,2.4,34.6,0.7,2.2,32.7,50.0
232,Isaiah Todd,12,6.2,1.2,0.4,1.4,29.4,0.3,1.3,25.0,41.2
233,Ish Smith,65,17.3,0.6,0.2,0.4,44.8,0.2,0.4,52.0,67.2
234,Ish Wainright,45,8.0,1.3,0.4,1.4,30.6,0.4,1.3,32.8,46.0
235,Ivica Zubac,76,24.4,0.2,0.1,0.2,37.5,-,-,-,37.5
236,JT Thor,33,7.9,0.7,0.2,0.8,30.8,0.2,0.7,29.2,44.2
237,Ja Morant,57,33.1,2.0,0.7,2.0,33.9,0.6,1.9,33.6,50.4
238,JaMychal Green,67,16.2,1.8,0.6,2.1,30.9,0.5,1.8,27.3,42.8
239,JaQuori McLaughlin,4,2.7,0.0,0.0,0.0,-,0.0,0.0,-,-
240,JaVale McGee,74,15.8,0.2,0.1,0.3,26.1,0.0,0.1,16.7,28.3
241,Jabari Parker,12,9.4,1.8,0.6,1.3,46.7,0.6,1.2,50.0,70.0
242,Jaden McDaniels,70,25.8,3.2,1.1,3.5,31.4,1.1,3.4,31.5,46.7
243,Jaden Springer,2,2.8,0.0,0.0,0.0,-,-,-,-,-
244,Jae Crowder,67,28.1,5.5,1.9,5.2,37.3,1.7,4.6,36.2,53.5
245,Jae'Sean Tate,78,26.4,2.1,0.7,2.3,30.9,0.7,2.3,30.5,45.9
246,Jahmi'us Ramsey,19,7.0,0.7,0.3,0.9,29.4,0.2,0.8,25.0,41.2
247,Jaime Echenique,1,3.1,0.0,0.0,0.0,-,-,-,-,-
248,Jake Layman,34,6.8,0.7,0.2,1.0,24.2,0.2,0.9,25.8,36.4
249,Jakob Poeltl,68,29.0,1.4,0.7,1.3,52.3,0.0,0.0,-,52.3
250,Jalen Brunson,79,31.9,2.7,0.9,2.3,41.6,0.9,2.2,40.1,61.0
251,Jalen Green,67,31.9,4.0,1.3,3.8,35.2,1.3,3.8,35.2,52.8
252,Jalen Johnson,22,5.5,0.4,0.1,0.5,25.0,0.1,0.5,25.0,37.5
253,Jalen McDaniels,55,16.3,2.2,0.7,2.0,37.0,0.7,1.9,38.2,55.1
254,Jalen Smith,51,18.1,2.8,1.0,2.8,36.2,0.8,2.3,33.1,50.0
255,Jalen Suggs,48,27.2,1.5,0.5,2.3,22.7,0.5,2.3,22.2,33.6
256,James Bouknight,31,9.8,0.9,0.3,0.9,33.3,0.3,0.8,34.6,50.0
257,James Ennis III,7,7.9,1.3,0.4,1.1,37.5,0.4,1.1,37.5,56.3
258,James Harden,65,37.2,1.0,0.3,1.0,33.8,0.3,1.0,33.8,50.8
259,James Johnson,62,19.2,1.0,0.3,1.1,29.0,0.3,1.1,29.9,43.5
260,Jamorko Pickett,13,13.6,2.5,0.8,2.6,32.4,0.8,2.6,32.4,48.5
261,Jared Butler,42,8.6,0.9,0.3,0.8,38.2,0.3,0.8,34.4,54.4
262,Jared Harper,5,8.6,1.8,0.6,1.6,37.5,0.6,1.6,37.5,56.3
263,Jaren Jackson Jr.,78,27.3,5.0,1.7,5.1,33.9,1.6,4.7,32.7,49.2
264,Jarred Vanderbilt,74,25.4,0.1,0.0,0.2,11.8,0.0,0.2,15.4,17.6
265,Jarrett Allen,56,32.3,0.5,0.3,0.7,37.8,0.0,0.1,0.0,37.8
266,Jarrett Culver,37,9.1,0.6,0.2,0.8,26.7,0.2,0.8,26.7,40.0
267,Jarron Cumberland,3,4.1,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
268,Javin DeLaurier,1,2.8,0.0,0.0,0.0,-,-,-,-,-
269,Javonte Green,65,23.4,1.6,0.5,1.6,33.7,0.5,1.5,35.4,50.5
270,Javonte Smart,17,11.8,1.1,0.4,1.0,35.3,0.4,1.0,35.3,52.9
271,Jaxson Hayes,70,20.0,1.0,0.3,1.0,34.8,0.3,0.7,38.0,48.6
272,Jay Huff,4,5.1,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
273,Jay Scrubb,18,6.7,0.7,0.2,0.9,23.5,0.2,0.9,25.0,35.3
274,Jaylen Brown,66,33.6,5.3,1.8,4.8,38.6,1.6,4.3,36.7,55.2
275,Jaylen Hoard,7,34.2,3.0,1.0,2.9,35.0,1.0,2.7,36.8,52.5
276,Jaylen Morris,3,5.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
277,Jaylen Nowell,62,15.7,2.1,0.7,1.9,38.5,0.7,1.8,38.1,56.8
278,Jaysean Paige,1,6.6,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
279,Jayson Tatum,76,35.9,4.1,1.4,3.8,38.2,1.2,3.2,38.0,54.6
280,Jeff Dowtin,9,12.0,0.3,0.1,0.9,12.5,0.1,0.8,14.3,18.8
281,Jeff Green,75,24.7,2.1,0.7,2.3,32.4,0.7,2.1,31.8,47.1
282,Jemerrio Jones,2,7.4,0.0,0.0,0.0,-,-,-,-,-
283,Jerami Grant,47,31.9,5.9,2.0,5.5,37.4,1.8,4.9,36.2,53.7
284,Jeremiah Robinson-Earl,49,22.2,3.8,1.3,3.9,33.7,1.2,3.3,35.8,48.9
285,Jeremy Lamb,56,16.7,2.0,0.7,2.0,34.5,0.6,1.9,33.0,50.4
286,Jericho Sims,41,13.5,0.0,0.0,0.0,0.0,-,-,-,0.0
287,Jevon Carter,66,13.7,1.9,0.7,1.8,36.1,0.6,1.7,36.0,53.4
288,Jimmy Butler,57,33.9,1.2,0.5,1.5,31.4,0.3,1.1,26.2,41.3
289,Jock Landale,54,10.9,1.6,0.5,1.7,31.9,0.5,1.6,32.6,47.3
