,name,game_participate,minutes,pts,FGM,FGA,FG%,3PM,3PA,3P%,EFG%
1507,Justin Wright-Foreman,4,11.3,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0
1508,Justise Winslow,11,32.0,1.6,0.6,2.2,29.2,0.4,1.9,19.0,37.5
1509,Jusuf Nurkic,8,31.6,0.8,0.3,1.6,15.4,0.3,1.0,25.0,23.1
1510,Juwan Morgan,21,6.4,0.4,0.1,0.4,37.5,0.1,0.4,37.5,56.3
1511,KZ Okpala,5,5.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
1512,Kadeem Allen,10,11.7,1.1,0.4,1.0,40.0,0.3,0.9,33.3,55.0
1513,Karl-Anthony Towns,35,33.9,7.7,2.6,6.3,41.4,2.5,5.9,42.5,61.4
1514,Kawhi Leonard,57,32.4,3.7,1.3,3.2,41.2,1.1,2.7,40.4,58.5
1515,Keita Bates-Diop,44,16.9,2.2,0.8,2.2,34.0,0.7,2.2,33.7,50.5
1516,Kelan Martin,31,16.0,1.8,0.6,2.6,23.5,0.6,2.6,23.5,35.2
1517,Keldon Johnson,17,17.7,2.3,0.8,1.2,65.0,0.8,1.2,65.0,97.5
1518,Kelly Olynyk,67,19.4,4.1,1.4,3.3,41.5,1.3,3.1,41.8,60.9
1519,Kelly Oubre Jr.,56,34.5,4.6,1.6,4.5,34.9,1.5,4.3,34.4,51.4
1520,Kemba Walker,56,31.1,3.3,1.1,2.6,42.5,1.1,2.6,42.0,63.0
1521,Kendrick Nunn,67,29.3,4.5,1.6,4.3,36.4,1.4,3.9,34.7,52.3
1522,Kenrich Williams,39,21.3,1.8,0.6,2.3,26.7,0.6,2.3,26.7,40.0
1523,Kent Bazemore,68,24.8,3.3,1.1,3.0,37.1,1.1,2.9,37.8,55.4
1524,Kentavious Caldwell-Pope,69,25.5,3.9,1.4,3.4,40.2,1.2,3.0,39.0,57.3
1525,Kevin Hervey,10,5.2,0.6,0.2,1.6,12.5,0.2,1.6,12.5,18.8
1526,Kevin Huerter,56,31.4,5.0,1.7,4.0,41.9,1.6,3.9,42.2,62.6
1527,Kevin Knox II,65,17.9,2.6,0.9,2.8,31.9,0.8,2.6,31.3,45.9
1528,Kevin Love,56,31.8,7.1,2.5,6.0,41.8,2.1,5.3,39.5,59.2
1529,Kevin Porter Jr.,50,23.2,2.1,0.7,1.8,39.8,0.7,1.6,40.7,58.5
1530,Kevon Looney,20,13.1,0.4,0.2,1.1,13.6,0.1,0.7,7.1,15.9
1531,Khem Birch,48,19.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1532,Khris Middleton,62,29.9,4.6,1.6,3.5,46.6,1.3,2.9,45.2,64.8
1533,Khyri Thomas,8,7.7,1.9,0.6,1.5,41.7,0.6,1.5,41.7,62.5
1534,Kostas Antetokounmpo,5,4.0,0.0,0.0,0.0,-,-,-,-,-
1535,Kris Dunn,51,24.9,1.5,0.5,1.9,27.1,0.5,1.9,26.3,40.1
1536,Kristaps Porzingis,57,31.8,7.9,2.9,7.6,37.7,2.2,6.1,36.3,52.3
1537,Ky Bowman,45,22.6,1.3,0.4,1.4,31.7,0.4,1.3,31.0,46.0
1538,Kyle Alexander,2,6.7,0.0,0.0,0.0,-,-,-,-,-
1539,Kyle Anderson,67,19.8,1.1,0.4,1.1,36.4,0.3,1.0,30.9,50.0
1540,Kyle Guy,3,3.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1541,Kyle Korver,58,16.6,4.3,1.5,3.3,44.3,1.4,3.2,43.2,64.9
1542,Kyle Kuzma,61,25.0,3.8,1.3,3.7,35.0,1.2,3.3,36.5,51.3
1543,Kyle Lowry,58,36.2,3.7,1.2,3.7,33.5,1.2,3.6,34.1,50.2
1544,Kyle O'Quinn,29,10.8,0.8,0.3,1.0,26.7,0.2,0.8,25.0,36.7
1545,Kyrie Irving,20,32.9,3.0,1.1,2.3,46.7,0.9,1.9,45.9,65.6
1546,LaMarcus Aldridge,53,33.1,5.8,2.4,5.5,43.9,1.0,2.6,38.0,52.9
1547,Lance Thomas,7,14.0,2.0,0.7,2.1,33.3,0.6,1.9,30.8,46.7
1548,Landry Shamet,53,27.4,5.4,1.8,4.7,38.9,1.8,4.6,38.3,57.7
1549,Langston Galloway,66,25.8,6.0,2.0,4.9,41.0,1.9,4.7,40.7,60.6
1550,Larry Nance Jr.,56,26.3,3.2,1.1,2.9,38.7,0.9,2.5,37.6,54.9
1551,Lauri Markkanen,50,29.8,6.3,2.1,6.1,34.6,2.1,6.0,34.4,51.6
1552,LeBron James,67,34.6,2.7,0.9,2.5,37.3,0.9,2.2,38.5,54.1
1553,Lonnie Walker IV,61,16.2,1.8,0.6,1.5,40.2,0.6,1.4,40.7,59.2
1554,Lonzo Ball,63,32.1,4.9,1.6,4.3,38.1,1.6,4.2,38.9,57.0
1555,Lou Williams,65,28.7,2.8,1.0,2.3,42.6,0.9,2.1,40.9,61.5
1556,Louis King,10,6.2,1.2,0.4,1.1,36.4,0.4,1.1,36.4,54.5
1557,Luc Mbah a Moute,3,8.2,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0
1558,Luguentz Dort,36,22.8,2.3,0.8,2.7,28.9,0.8,2.6,29.5,43.3
1559,Luka Doncic,61,33.6,1.1,0.4,1.3,27.8,0.3,1.2,28.0,41.1
1560,Luka Samanic,3,16.1,2.7,1.0,2.7,37.5,0.7,2.3,28.6,50.0
1561,Luke Kennard,28,32.9,4.7,1.6,3.8,41.9,1.5,3.6,42.2,62.4
1562,Luke Kornet,36,15.5,2.6,0.9,2.9,30.5,0.9,2.8,30.4,45.2
1563,Malcolm Brogdon,54,30.9,1.5,0.5,1.4,35.1,0.5,1.4,36.0,52.6
1564,Malcolm Miller,28,5.8,0.8,0.3,0.6,38.9,0.3,0.6,38.9,58.3
1565,Malik Beasley,55,22.0,4.4,1.5,3.7,40.3,1.4,3.5,40.5,60.0
1566,Malik Monk,55,21.3,2.1,0.7,2.3,30.7,0.7,2.3,31.2,46.1
1567,Malik Newman,1,3.7,0.0,0.0,1.0,0.0,0.0,0.0,-,0.0
1568,Marc Gasol,44,26.4,4.0,1.4,3.8,36.1,1.3,3.2,38.7,52.7
1569,Marco Belinelli,57,15.5,2.8,1.0,2.5,39.2,0.8,2.1,37.2,54.9
1570,Marcus Morris Sr.,62,31.2,5.1,1.8,4.1,43.9,1.5,3.6,42.5,62.5
1571,Marcus Smart,60,32.0,3.9,1.3,4.1,32.0,1.3,4.0,31.4,47.2
1572,Marial Shayok,4,7.0,0.8,0.3,0.8,33.3,0.3,0.8,33.3,50.0
1573,Mario Hezonja,53,16.4,1.0,0.3,1.1,30.0,0.3,1.1,30.5,45.0
1574,Markelle Fultz,72,27.7,1.1,0.4,1.4,26.7,0.3,1.3,26.7,38.6
1575,Markieff Morris,58,20.5,4.3,1.4,3.6,40.3,1.4,3.4,40.7,60.0
1576,Marko Guduric,44,11.0,1.3,0.4,1.2,36.5,0.4,1.1,36.7,53.8
1577,Marques Bolden,1,2.8,0.0,0.0,0.0,-,-,-,-,-
1578,Marquese Chriss,59,20.3,0.6,0.2,0.9,25.0,0.1,0.6,21.6,32.7
1579,Marvin Bagley III,13,25.7,1.5,0.6,2.4,25.8,0.3,1.7,18.2,32.3
1580,Marvin Williams,58,19.5,2.7,0.9,2.5,35.9,0.9,2.4,36.2,53.1
1581,Mason Plumlee,61,17.3,0.0,0.0,0.1,14.3,0.0,0.0,0.0,14.3
1582,Matisse Thybulle,65,19.8,2.5,0.8,2.3,36.7,0.8,2.3,37.4,55.0
1583,Matt Mooney,4,4.7,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
1584,Matt Thomas,41,10.7,2.8,1.0,2.0,48.8,0.9,1.9,48.1,71.9
1585,Matthew Dellavedova,57,14.4,0.9,0.3,1.2,23.9,0.3,1.2,24.3,35.9
1586,Maurice Harkless,62,23.0,1.5,0.5,1.5,33.3,0.5,1.5,33.3,49.5
1587,Max Strus,2,3.1,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
1588,Maxi Kleber,74,25.5,4.7,1.6,4.2,37.9,1.6,4.1,37.7,56.4
1589,Melvin Frazier Jr.,19,6.6,1.1,0.4,0.7,50.0,0.3,0.7,46.2,71.4
1590,Meyers Leonard,51,20.3,2.9,1.0,2.3,41.5,0.9,2.3,41.0,61.9
1591,Mfiondu Kabengele,12,5.4,2.0,0.7,1.7,40.0,0.7,1.5,44.4,60.0
1592,Michael Carter-Williams,45,18.5,1.4,0.5,1.6,30.6,0.5,1.5,30.4,45.1
1593,Michael Frazier II,13,11.1,0.9,0.3,1.5,21.1,0.3,1.5,21.1,31.6
1594,Michael Kidd-Gilchrist,25,11.2,0.7,0.2,0.9,26.1,0.2,0.8,26.3,37.0
1595,Michael Porter Jr.,55,16.4,2.9,1.1,2.3,45.0,0.8,1.9,41.5,62.0
1596,Mikal Bridges,73,28.0,2.8,1.0,2.7,35.4,0.9,2.6,35.3,52.0
1597,Mike Conley,47,29.0,3.3,1.1,2.6,42.3,1.1,2.5,42.0,62.6
1598,Mike Muscala,47,12.2,3.6,1.2,3.2,38.7,1.1,2.9,38.7,56.3
1599,Mike Scott,68,17.8,3.6,1.2,3.3,37.5,1.2,3.1,37.4,55.1
