,消費者物價基本分類指數,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,單位：民國105年=100,,
統計期,總指數,年增率(%),一.食物類,年增率(%),二.衣著類,年增率(%),三.居住類,年增率(%),四.交通及通訊類,年增率(%),五.醫藥保健類,年增率(%),六.教養娛樂類,年增率(%),七.雜項類,年增率(%)
104年4月,97.9,-0.82,92.42,1.49,104.8,-0.56,99.67,-1.07,101.68,-5.97,98.9,-0.05,99.57,-0.16,98.38,-0.01
104年5月,98.14,-0.73,92.6,0.88,103.08,-1.14,100.02,-0.73,102.87,-4.91,98.81,0.03,99.53,-0.22,98.42,0.24
104年6月,98.81,-0.56,93.49,1.87,100.75,-1.56,101.45,-0.8,102.61,-5.45,99.03,-0.03,100.25,-0.02,98.83,0.08
104年7月,98.71,-0.63,93.12,1.76,97.89,-1.68,101.61,-0.73,102.19,-5.99,99.18,0.14,101.36,0.11,98.09,0.05
104年8月,99.33,-0.44,96.3,3.07,95.23,-0.65,101.57,-1.11,101.05,-6.78,99.17,0.22,101.16,0.05,98.19,0.29
104年9月,100.01,0.29,99.63,5.89,94.34,-0.63,101.53,-1.18,100.3,-6.68,99.46,0.34,100.14,-0.06,98.56,0.01
104年10月,100.1,0.31,99.85,5.12,107.02,-1.16,99.89,-1.33,100.84,-5.23,99.37,0.63,100.13,0.2,97.43,0
104年11月,99.41,0.54,98.34,5.26,104.71,-0.74,100.02,-1.1,99.94,-4.91,99.32,0.43,99.2,0.37,98.3,0.65
104年12月,98.67,0.13,96.66,3.01,101.89,-0.86,100.03,-0.85,98.79,-3.95,99.54,0.75,98.98,0.16,98.65,0.89
105年,100,1.39,100,5.23,100,0.2,100,-0.24,100,-1.12,100,0.87,100,0.09,100,1.39
105年1月,98.12,0.81,96.09,2.74,97.57,-1.6,99.89,1.58,97.58,-2.95,99.49,0.59,99.01,0.41,98.16,0.23
105年2月,100.02,2.41,100.09,8.48,94.46,-0.82,99.89,1.43,97.88,-3.3,99.51,0.68,101.62,0.6,103.58,1.16
105年3月,99.41,2.01,100.05,8.63,93.52,0.03,99.92,-0.37,98.85,-2.61,99.76,0.68,99.1,0.13,99.42,1.05
105年4月,99.73,1.87,99.78,7.96,104.98,0.17,99.2,-0.47,99.25,-2.39,100.15,1.26,99.74,0.17,99.47,1.11
105年5月,99.35,1.23,97.99,5.82,103.11,0.03,99.2,-0.82,100.57,-2.24,99.94,1.14,99.66,0.13,100.02,1.63
105年6月,99.7,0.9,97.76,4.57,100.7,-0.05,100.69,-0.75,101.12,-1.45,100,0.98,99.71,-0.54,100.44,1.63
105年7月,99.93,1.24,98.27,5.53,98.24,0.36,100.76,-0.84,100.89,-1.27,99.92,0.75,101.15,-0.21,99.83,1.77
105年8月,99.89,0.56,98.81,2.61,96.29,1.11,100.75,-0.81,100.41,-0.63,100.16,1,100.83,-0.33,99.71,1.55
105年9月,100.35,0.34,100.49,0.86,95.59,1.32,100.83,-0.69,100.52,0.22,100.07,0.61,100.25,0.11,100.46,1.93
105年10月,101.8,1.7,105.07,5.23,107.92,0.84,99.59,-0.3,101.16,0.32,100.19,0.83,100.32,0.19,99.41,2.03
105年11月,101.37,1.97,104.64,6.41,105.1,0.37,99.64,-0.38,100.42,0.48,100.38,1.07,99.36,0.16,99.67,1.39
