date,sum,oil_sc,steel_sc,CPI_sc,CPIT_sc,economicgrowth_sc,gdp_sc,incomeaverage_sc,covid_sc,industry_sc,stock_sc,last_sell,恐慌_last_month,塞港_last_month,diff,oil_sc_last_month,steel_sc_last_month,CPI_sc_last_month,economicgrowth_sc_last_month,gdp_sc_last_month,incomeaverage_sc_last_month,covid_sc_last_month,industry_sc_last_month,stock_sc_last_month,CPIT_sc_last_month
2013-03-01,26692.0,1.3833322352645865,-0.060408033312976894,-1.630748195534496,1.5628483825416284,1.5628483825416284,-0.13019252170146306,-1.3014876447900627,-0.15947921846334845,-0.8003048723427808,-0.9113208921318512,19809,0.0,0.0,6883.0,1.460314632587874,-0.060408033312976894,-1.0559094566085896,1.9105924342424854,-0.13019252170146306,-1.3014876447900627,-0.15947921846334845,-2.05467436843657,-0.9185603304593346,1.9105924342424854
2013-04-01,28122.0,1.1240432651757029,-0.004588590176528492,-1.3861359662043249,1.394585131718634,1.394585131718634,-0.13018863049457804,-1.4436155144231295,-0.15947921846334845,-0.9454865269832656,-0.8498926963380573,26692,0.0,0.0,1430.0,1.3833322352645865,-0.060408033312976894,-1.630748195534496,1.5628483825416284,-0.13019252170146306,-1.3014876447900627,-0.15947921846334845,-0.8003048723427808,-0.9113208921318512,1.5628483825416284
2013-05-01,29951.0,1.0650617269280096,-0.004588590176528492,-1.31275229740527,1.2683876936013863,1.2683876936013863,-0.13018863049457804,-1.4436155144231295,-0.15947921846334845,-0.6130205378565554,-0.7933457699158244,28122,0.0,0.0,1829.0,1.1240432651757029,-0.004588590176528492,-1.3861359662043249,1.394585131718634,-0.13018863049457804,-1.4436155144231295,-0.15947921846334845,-0.9454865269832656,-0.8498926963380573,1.394585131718634
2013-06-01,31927.0,1.1382141542352135,-0.004588590176528492,-1.1129856434522971,1.2711920811151003,1.2711920811151003,-0.13018863049457804,-1.4436155144231295,-0.15947921846334845,-0.8540220845597598,-0.860929067418976,29951,0.0,0.0,1976.0,1.0650617269280096,-0.004588590176528492,-1.31275229740527,1.2683876936013863,-0.13018863049457804,-1.4436155144231295,-0.15947921846334845,-0.6130205378565554,-0.7933457699158244,1.2683876936013863
2013-07-01,39263.0,1.3473305171133974,-0.20064577008170836,-1.174138700784837,1.184256068189889,1.184256068189889,-0.13019175657651377,-1.0522123789812916,-0.15947921846334845,-0.4801793238605109,-0.8448815873067214,31927,0.0,0.0,7336.0,1.1382141542352135,-0.004588590176528492,-1.1129856434522971,1.2711920811151003,-0.13018863049457804,-1.4436155144231295,-0.15947921846334845,-0.8540220845597598,-0.860929067418976,1.2711920811151003
2013-08-01,20758.0,1.612364442226407,-0.20064577008170836,-1.1252162549188063,1.3104535063071328,1.3104535063071328,-0.13019175657651377,-1.0522123789812916,-0.15947921846334845,-0.6173759874957692,-0.8750780811545129,39263,0.0,0.0,-18505.0,1.3473305171133974,-0.20064577008170836,-1.174138700784837,1.184256068189889,-0.13019175657651377,-1.0522123789812916,-0.15947921846334845,-0.4801793238605109,-0.8448815873067214,1.184256068189889
2013-09-01,28354.0,1.3676293581986423,-0.20064577008170836,-0.6033768323477688,1.4450641069655308,1.4450641069655308,-0.13019175657651377,-1.0522123789812916,-0.15947921846334845,-0.9113688381427518,-0.8217455636067224,20758,0.0,0.0,7596.0,1.612364442226407,-0.20064577008170836,-1.1252162549188063,1.3104535063071328,-0.13019175657651377,-1.0522123789812916,-0.15947921846334845,-0.6173759874957692,-0.8750780811545129,1.3104535063071328
2013-10-01,31381.0,1.3622674001761248,-0.20064577008170836,-0.7134523355463454,1.2543657560328039,1.2543657560328039,-0.1301858323233349,-0.9303584774481375,-0.15947921846334845,-0.7342472194813594,-0.7248255213542923,28354,0.0,0.0,3027.0,1.3676293581986423,-0.20064577008170836,-0.6033768323477688,1.4450641069655308,-0.13019175657651377,-1.0522123789812916,-0.15947921846334845,-0.9113688381427518,-0.8217455636067224,1.4450641069655308
2013-11-01,33752.0,1.4434627645171048,-0.20064577008170836,-1.0029101402537148,1.1477990305115704,1.1477990305115704,-0.1301858323233349,-0.9303584774481375,-0.15947921846334845,-0.890317498219881,-0.7399957064680638,31381,0.0,0.0,2371.0,1.3622674001761248,-0.20064577008170836,-0.7134523355463454,1.2543657560328039,-0.1301858323233349,-0.9303584774481375,-0.15947921846334845,-0.7342472194813594,-0.7248255213542923,1.2543657560328039
2013-12-01,37968.0,1.454569677563748,-0.20064577008170836,-1.0396019746532421,1.2319306559230716,1.2319306559230716,-0.1301858323233349,-0.9303584774481375,-0.15947921846334845,-0.6573009425219033,-0.668169810352247,33752,0.0,0.0,4216.0,1.4434627645171048,-0.20064577008170836,-1.0029101402537148,1.1477990305115704,-0.1301858323233349,-0.9303584774481375,-0.15947921846334845,-0.890317498219881,-0.7399957064680638,1.1477990305115704
