年月,港口別,總計,進口貨,出口貨,國內貨
200708,安平港,355960,325562,11727,18671
200708,蘇澳港,331497,113075,91090,127332
200709,國際商港,23252185,15105558,4166540,3980087
200709,高雄港,12831588,8644263,2779077,1408248
200709,臺中港,4388345,3574636,503771,309938
200709,基隆港,2661091,1392227,631142,637722
200709,花蓮港,1458727,264921,131101,1062705
200709,臺北港,937542,558364,1153,378025
200709,蘇澳港,510816,258554,109380,142882
200709,安平港,464076,412593,10916,40567
200710,國際商港,22356715,13817449,4503068,4036198
200710,高雄港,11805843,7525137,2995546,1285160
200710,臺中港,4701020,3704733,527380,468907
200710,基隆港,2604702,1246879,641411,716412
200710,花蓮港,1528770,206947,261174,1060649
200710,臺北港,720232,469053,666,250513
200710,蘇澳港,555041,280144,65733,209164
200710,安平港,441107,384556,11158,45393
200711,國際商港,21574374,13745479,4003069,3825826
200711,高雄港,11707698,7795253,2605016,1307429
200711,臺中港,4731609,3795747,499864,435998
200711,基隆港,2369832,1088262,613473,668097
200711,花蓮港,1351323,195175,218869,937279
200711,臺北港,679200,412717,5322,261161
200711,蘇澳港,499476,263886,54200,181390
200711,安平港,235236,194439,6325,34472
200712,國際商港,23290875,14463870,4374808,4452197
200712,高雄港,13249017,9077447,2894326,1277244
200712,臺中港,3899339,2793428,559545,546366
200712,基隆港,2788737,1390843,611002,786892
200712,花蓮港,1556326,108750,233696,1213880
200712,臺北港,749816,418065,394,331357
200712,安平港,638986,574154,13045,51787
200712,蘇澳港,408654,101183,62800,244671
200801,國際商港,23512248,14916238,4283616,4312394
200801,高雄港,12919704,8574116,2928751,1416837
200801,臺中港,3850400,2832250,495376,522774
200801,基隆港,2936582,1620128,596382,720072
200801,花蓮港,1674743,355761,152818,1166164
200801,臺北港,904603,553314,6331,344958
200801,安平港,613791,557284,10303,46204
200801,蘇澳港,612425,423385,93655,95385
200802,國際商港,19006464,12350105,3377127,3279232
200802,高雄港,11109699,7463643,2384367,1261689
200802,臺中港,3487868,2849627,325348,312893
200802,基隆港,1896393,861819,430154,604420
200802,花蓮港,1043972,143508,174160,726304
200802,臺北港,686814,457596,1458,227760
200802,蘇澳港,469474,296363,53300,119811
200802,安平港,312244,277549,8340,26355
200803,國際商港,26092159,17324297,4715867,4051995
200803,高雄港,14712088,10372196,2928492,1411400
200803,臺中港,4984436,4043381,540298,400757
200803,基隆港,2762230,1379023,676503,706704
200803,花蓮港,1589962,216762,334180,1039020
200803,臺北港,902707,560913,1203,340591
200803,安平港,693830,626655,13791,53384
200803,蘇澳港,446906,125367,221400,100139
200804,國際商港,24043849,15841671,4156126,4046052
200804,高雄港,13319255,8979934,2834114,1505207
200804,臺中港,4632700,3742826,449749,440125
200804,基隆港,2510316,1322306,611034,576976
200804,花蓮港,1595367,347728,177120,1070519
200804,臺北港,750576,452823,2709,295044
200804,安平港,710057,653265,11550,45242
200804,蘇澳港,525578,342789,69850,112939
200805,國際商港,24385745,15765837,4022095,4597813
200805,高雄港,13678251,9062929,2724063,1891259
200805,臺中港,4986932,4024069,487066,475797
200805,基隆港,2786961,1435627,619064,732270
200805,花蓮港,1296069,96243,113588,1086238
200805,臺北港,731760,446108,958,284694
200805,安平港,698517,645959,13738,38820
200805,蘇澳港,207255,54902,63618,88735
200806,國際商港,21913527,14209051,4127504,3576972
200806,高雄港,11931480,8225313,2671590,1034577
200806,臺中港,4209654,3236005,472854,500795
200806,基隆港,2686619,1436105,637670,612844
200806,花蓮港,1503090,240561,257434,1005095
200806,臺北港,761346,432369,970,328007
200806,安平港,481456,445675,12086,23695
200806,蘇澳港,339882,193023,74900,71959
200807,國際商港,22715197,15287645,3603360,3824192
200807,高雄港,12032474,8363888,2356106,1312480
200807,臺中港,5195747,4330450,430564,434733
200807,基隆港,2565857,1396392,557355,612110
200807,花蓮港,1288235,99686,130109,1058440
200807,臺北港,777007,460984,483,315540
200807,安平港,434990,389248,8294,37448
200807,蘇澳港,420887,246997,120449,53441
200808,國際商港,24531670,16798224,3764223,3969223
200808,高雄港,13885453,10119701,2421043,1344709
200808,臺中港,4373531,3532239,406604,434688
200808,基隆港,2768793,1528068,604233,636492
200808,花蓮港,1532420,293559,212310,1026551
200808,安平港,827090,777366,9481,40243
200808,臺北港,727481,365063,842,361576
200808,蘇澳港,416902,182228,109710,124964
200809,國際商港,20897033,14152984,3496030,3248019
200809,高雄港,11318513,7797633,2287564,1233316
200809,臺中港,4528128,3832140,366040,329948
200809,基隆港,2455328,1407015,548220,500093
200809,花蓮港,1123258,67679,237935,817644
200809,臺北港,666054,417942,1084,247028
200809,安平港,532390,497984,10115,24291
200809,蘇澳港,273362,132591,45072,95699
200810,國際商港,20991734,13005324,3688252,4298158
200810,高雄港,11366029,7479051,2204011,1682967
200810,臺中港,4009671,3173158,384729,451784
200810,基隆港,2267559,1155540,529961,582058
200810,花蓮港,1690066,233790,408939,1047337
200810,臺北港,765389,391621,571,373197
200810,蘇澳港,515488,238601,155549,121338
200810,安平港,377532,333563,4492,39477
200811,國際商港,19408088,12798395,3116959,3492734
200811,高雄港,10352287,7026579,2055154,1270554
200811,臺中港,4297358,3474637,452356,370365
200811,基隆港,2198138,1160688,467515,569935
200811,花蓮港,1082635,148369,50344,883922
200811,臺北港,603773,331334,1582,270857
200811,安平港,454166,415202,1808,37156
200811,蘇澳港,419731,241586,88200,89945
200812,國際商港,18681869,11732716,3393874,3555279
200812,高雄港,10103647,6832099,2099214,1172334
200812,臺中港,3646670,2603442,587129,456099
200812,基隆港,2060112,1053227,431415,575470
200812,花蓮港,1378528,237814,183429,957285
200812,臺北港,775317,511701,109,263507
200812,安平港,474764,421723,12667,40374
200812,蘇澳港,242831,72710,79911,90210
200901,國際商港,15890858,9845661,3137141,2908056
200901,高雄港,8179903,5149325,1989615,1040963
200901,臺中港,3362496,2566548,413891,382057
200901,基隆港,1679891,871947,358278,449666
200901,花蓮港,1039051,126449,222250,690352
200901,安平港,633268,603196,1125,28947
200901,臺北港,624650,437758,2475,184417
200901,蘇澳港,371599,90438,149507,131654
200902,國際商港,17555172,11271366,3444205,2839601
200902,高雄港,9749616,6310691,2157212,1281713
200902,臺中港,3475923,2647152,497127,331644
200902,基隆港,1520802,757641,390286,372875
200902,花蓮港,1167735,252612,303060,612063
200902,臺北港,629126,482143,5111,141872
200902,安平港,530303,512658,4909,12736
200902,蘇澳港,481667,308469,86500,86698
200903,國際商港,19871846,12542801,3920656,3408389
200903,高雄港,10279085,6397500,2663793,1217792
200903,臺中港,4593527,3789264,473313,330950
200903,基隆港,2096044,1012328,537229,546487
200903,花蓮港,1031505,32436,104900,894169
200903,臺北港,807461,515538,37385,254538
200903,安平港,677324,649129,0,28195
200903,蘇澳港,386900,146606,104036,136258
200904,國際商港,19754968,12932956,3739565,3082447
200904,高雄港,10455185,6966070,2355081,1134034
200904,臺中港,4252977,3454107,454711,344159
200904,基隆港,1898433,1062003,449899,386531
200904,花蓮港,1298940,98676,313002,887262
200904,臺北港,987955,695918,43334,248703
200904,安平港,546781,523866,1906,21009
200904,蘇澳港,314697,132316,121632,60749
200905,國際商港,18793582,12066556,3978986,2748040
200905,高雄港,9643854,6210204,2549555,884095
200905,臺中港,4022485,3258822,470245,293418
200905,基隆港,1957733,1017211,484259,456263
200905,花蓮港,1117564,42321,285283,789960
200905,臺北港,940190,646186,64273,229731
200905,安平港,656222,634703,761,20758
200905,蘇澳港,455534,257109,124610,73815
200906,國際商港,20203389,13478749,4081721,2642919
200906,高雄港,10690677,7248705,2657774,784198
200906,臺中港,4304737,3433669,506759,364309
200906,基隆港,2057113,1109853,498278,448982
200906,花蓮港,1213098,138168,290870,784060
200906,臺北港,1049762,793865,70340,185557
200906,安平港,630629,617301,0,13328
200906,蘇澳港,257373,137188,57700,62485
200907,國際商港,20569350,13943855,4023872,2601623
200907,高雄港,10631749,7197937,2602175,831637
200907,臺中港,4946663,4117132,498765,330766
200907,基隆港,1917114,1011486,458753,446875
200907,花蓮港,1077011,159427,248584,669000
200907,臺北港,1002527,698811,90601,213115
200907,安平港,549200,530743,0,18457
200907,蘇澳港,445086,228319,124994,91773
200908,國際商港,22047165,15403666,4183904,2459595
200908,高雄港,11528813,8184565,2556504,787744
200908,臺中港,5297663,4421410,573739,302514
200908,基隆港,2037522,1107941,495888,433693
200908,花蓮港,1138968,82554,352580,703834
200908,臺北港,958054,698878,107032,152144
200908,安平港,660746,642769,1,17976
200908,蘇澳港,425399,265549,98160,61690
200909,國際商港,21982164,15365690,3851778,2764696
200909,高雄港,11175930,7782470,2520134,873326
200909,臺中港,5064380,4298400,471966,294014
200909,基隆港,1987612,1070813,427103,489696
200909,臺北港,1226334,987961,88546,149827
200909,花蓮港,1215182,206162,215449,793571
200909,安平港,768604,744197,2505,21902
200909,蘇澳港,544122,275687,126075,142360
200910,國際商港,18859073,12691081,3747941,2420051
200910,高雄港,9892420,6588821,2421305,882294
200910,臺中港,4299152,3560974,464687,273491
200910,基隆港,1840901,989937,465246,385718
200910,臺北港,1074409,827853,109815,136741
200910,花蓮港,812400,36655,209450,566295
200910,安平港,557045,522024,5968,29053
200910,蘇澳港,382746,164817,71470,146459
200911,國際商港,20076812,13586694,3985302,2504816
200911,高雄港,10801858,7484773,2555821,761264
200911,臺中港,4418872,3492248,502492,424132
200911,基隆港,2016583,1187680,476581,352322
200911,花蓮港,1203070,240422,264700,697948
200911,臺北港,972865,728034,100508,144323
200911,蘇澳港,371101,187853,85200,98048
200911,安平港,292463,265684,0,26779
200912,國際商港,20133295,13909752,3654530,2569013
200912,高雄港,10541172,7615006,2267859,658307
200912,臺中港,4707652,3844661,503592,359399
200912,基隆港,2029350,1078243,470608,480499
200912,花蓮港,1086511,144937,226434,715140
200912,臺北港,977323,728437,120026,128860
200912,蘇澳港,537877,288380,57500,191997
200912,安平港,253410,210088,8511,34811
201001,國際商港,21387515,14576871,4348530,2462114
201001,高雄港,11201486,8144079,2663847,393560
201001,臺中港,4736114,3745589,527615,462910
201001,基隆港,2296019,1278446,516176,501397
201001,花蓮港,1519068,321977,387776,809315
201001,臺北港,1058015,813714,135411,108890
201001,蘇澳港,410748,145787,117705,147256
201001,安平港,166065,127279,0,38786
201002,國際商港,16628057,11670623,3049545,1907889
201002,高雄港,8393753,5998624,1904347,490782
201002,臺中港,4376768,3776016,349616,251136
201002,基隆港,1507974,842429,325527,340018
201002,花蓮港,1000631,227099,281670,491862
201002,臺北港,690238,527534,81310,81394
201002,蘇澳港,547192,227757,102976,216459
201002,安平港,111501,71164,4099,36238
201003,國際商港,20542797,13425062,4742860,2374875
201003,高雄港,10051897,6585839,2956002,510056
201003,臺中港,5270297,4344129,541912,384256
201003,基隆港,2405705,1364614,567694,473397
201003,花蓮港,1097964,55861,379470,662633
201003,臺北港,1001203,705244,107850,188109
201003,蘇澳港,601824,299669,184969,117186
201003,安平港,113907,69706,4963,39238
201004,國際商港,20207490,13719222,4170863,2317405
201004,高雄港,10415662,7390156,2566269,459237
201004,臺中港,4923151,4064089,509236,349826
201004,基隆港,2073199,1175519,508181,389499
201004,花蓮港,1116072,112047,261695,742330
201004,臺北港,1001070,687044,104433,209593
201004,蘇澳港,593814,243413,219049,131352
201004,安平港,84522,46954,2000,35568
201005,國際商港,21758980,14897875,4547418,2313687
201005,高雄港,10649784,7253849,2973171,422764
201005,臺中港,5830508,4899971,555590,374947
201005,基隆港,2357383,1341495,551975,463913
201005,花蓮港,1289224,321051,229520,738653
201005,臺北港,1201039,921147,127633,152259
201005,蘇澳港,349518,128335,104860,116323
201005,安平港,81524,32027,4669,44828
201006,國際商港,20781734,14756425,3817259,2208050
201006,高雄港,10591406,7611744,2544667,434995
201006,臺中港,5699526,4844560,476786,378180
201006,基隆港,2101824,1289501,492781,319542
201006,花蓮港,1080560,222899,137005,720656
201006,臺北港,984853,709231,106230,169392
201006,蘇澳港,215903,13334,51622,150947
201006,安平港,107662,65156,8168,34338
201007,國際商港,20419321,14045374,3927585,2446362
201007,高雄港,10644564,7536607,2517501,590456
201007,臺中港,4986708,3970375,549393,466940
201007,基隆港,2017096,1225338,478898,312860
201007,花蓮港,1253059,249026,180830,823203
201007,臺北港,1063854,823623,107525,132706
201007,蘇澳港,373263,194836,93197,85230
201007,安平港,80777,45569,241,34967
201008,國際商港,21988559,15157641,4352307,2478611
201008,高雄港,10839560,7278100,2874160,687300
201008,臺中港,5989159,5125275,526478,337406
201008,基隆港,2179846,1296197,494678,388971
201008,花蓮港,1106709,230651,220740,655318
201008,臺北港,1026610,722813,110615,193182
201008,蘇澳港,750880,442207,119105,189568
201008,安平港,95795,62398,6531,26866
201009,國際商港,19781217,13468862,4027117,2285238
201009,高雄港,10124899,6781078,2688966,654855
201009,臺中港,5195317,4291974,505333,398010
201009,基隆港,1931494,1192855,451877,286762
201009,臺北港,1011976,784962,111084,115930
201009,花蓮港,976870,131473,179084,666313
201009,蘇澳港,467521,242918,86820,137783
201009,安平港,73140,43602,3953,25585
201010,國際商港,20646960,14169993,4172321,2304646
201010,高雄港,10226652,6984272,2631927,610453
201010,臺中港,5815554,4819035,601360,395159
201010,基隆港,2013606,1175501,498287,339818
201010,花蓮港,1238404,291838,255933,690633
201010,臺北港,915112,685100,112242,117770
201010,蘇澳港,339973,150590,70191,119192
201010,安平港,97659,63657,2381,31621
201011,國際商港,21662022,14974247,4246845,2440930
201011,高雄港,11064575,7677430,2788225,598920
201011,臺中港,5774194,4727583,557487,489124
201011,基隆港,2082076,1286975,472258,322843
201011,臺北港,1144771,885908,134723,124140
201011,花蓮港,1103262,152974,192559,757729
201011,蘇澳港,410696,208213,97643,104840
201011,安平港,82448,35164,3950,43334
201012,國際商港,20680802,13963607,3854630,2862565
201012,高雄港,10748195,7364367,2472430,911398
201012,臺中港,5076193,4085336,548526,442331
201012,基隆港,2040365,1218970,445725,375670
201012,花蓮港,1131657,217771,171090,742796
201012,臺北港,1129744,838356,120462,170926
201012,蘇澳港,452727,185013,93417,174297
201012,安平港,101921,53794,2980,45147
201101,國際商港,20438772,13785742,4187939,2465091
201101,高雄港,10736265,7456580,2663395,616290
201101,臺中港,4503115,3474142,534009,494964
201101,基隆港,2087043,1275023,448041,363979
201101,花蓮港,1286122,342654,252354,691114
201101,臺北港,1205687,936772,124436,144479
201101,蘇澳港,519002,248835,162780,107387
201101,安平港,101538,51736,2924,46878
201102,國際商港,18274656,12618129,3541493,2115034
201102,高雄港,9533546,6663404,2261892,608250
201102,臺中港,4882678,3934954,518648,429076
201102,基隆港,1501711,863000,358180,280531
201102,花蓮港,889504,159925,196844,532735
201102,臺北港,870984,674974,99374,96636
201102,蘇澳港,508046,277161,98152,132733
201102,安平港,88187,44711,8403,35073
201103,國際商港,22354842,15500424,4106015,2748403
201103,高雄港,11370589,8018733,2639328,712528
201103,臺中港,6062720,5030147,592455,440118
201103,基隆港,2128766,1264717,502268,361781
201103,臺北港,1185199,850705,129439,205055
201103,花蓮港,1160239,166561,171220,822458
201103,蘇澳港,331246,105772,64658,160816
201103,安平港,116083,63789,6647,45647
201104,國際商港,21427249,14679940,4191854,2555455
201104,高雄港,10755393,7462312,2667251,625830
201104,臺中港,5466882,4449753,562842,454287
201104,基隆港,2065166,1194534,487923,382709
201104,花蓮港,1288039,321639,214140,752260
201104,臺北港,1287512,978377,122163,186972
201104,蘇澳港,474266,228239,128423,117604
201104,安平港,89991,45086,9112,35793
201105,國際商港,22169246,15304341,4235390,2629515
201105,高雄港,11331997,7869350,2793971,668676
201105,臺中港,5835275,4790865,550140,494270
201105,基隆港,2076778,1238781,487202,350795
201105,臺北港,1259245,933338,115354,210553
201105,花蓮港,1153217,222275,167110,763832
201105,蘇澳港,424807,213502,117612,93693
201105,安平港,87927,36230,4001,47696
201106,國際商港,20386585,14525353,3658741,2202491
201106,高雄港,10212306,7341409,2349839,521058
201106,臺中港,5464851,4513060,484225,467566
201106,基隆港,1870620,1072220,463677,334723
201106,臺北港,1432721,1148348,127917,156456
201106,花蓮港,871327,170804,164500,536023
201106,蘇澳港,445665,238240,59853,147572
201106,安平港,89095,41272,8730,39093
201107,國際商港,21165223,14598252,4302981,2263990
201107,高雄港,10902738,7575850,2719363,607525
201107,臺中港,5536121,4524412,629678,382031
201107,基隆港,1927806,1124014,474060,329732
201107,臺北港,1214048,886162,134862,193024
201107,花蓮港,984697,200936,169778,613983
201107,蘇澳港,512387,231147,170369,110871
201107,安平港,87426,55731,4871,26824
201108,國際商港,19313450,13116632,3831002,2365816
201108,高雄港,9319029,6284128,2487999,546902
201108,臺中港,4725749,3798573,491631,435545
201108,基隆港,2071635,1243669,451051,376915
201108,臺北港,1618014,1343292,127281,147441
201108,花蓮港,1069177,239605,145928,683644
201108,蘇澳港,411858,152709,127112,132037
201108,安平港,97988,54656,0,43332
201109,國際商港,20762584,14265292,3700981,2796311
201109,高雄港,11022981,7659195,2455236,908550
201109,臺中港,5085491,4234255,457273,393963
201109,基隆港,1971955,1102080,412918,456957
201109,臺北港,1175674,873943,130733,170998
201109,花蓮港,1025198,137568,178120,709510
201109,蘇澳港,389285,217777,59020,112488
201109,安平港,92000,40474,7681,43845
201110,國際商港,20605319,13820893,4285209,2499217
201110,高雄港,10004648,6566666,2789282,648700
201110,臺中港,5245949,4192015,572799,481135
201110,基隆港,2019599,1193262,591908,234429
201110,臺北港,1567583,1210241,141725,215617
201110,花蓮港,1192314,355711,122138,714465
201110,蘇澳港,473037,252062,65594,155381
201110,安平港,102189,50936,1763,49490
201111,國際商港,19133746,13124336,3663054,2346356
201111,高雄港,9616902,6652471,2378927,585504
201111,臺中港,5016863,4113849,507060,395954
201111,基隆港,1863065,1113416,415317,334332
201111,臺北港,1241404,932283,130283,178838
201111,花蓮港,1000956,185143,104800,711013
201111,蘇澳港,334853,119350,123544,91959
201111,安平港,59703,7824,3123,48756
201112,國際商港,18389176,12000384,3642733,2746059
201112,高雄港,9125506,6021366,2312492,791648
201112,臺中港,4843688,3776251,546782,520655
201112,基隆港,1783907,929370,445469,409068
201112,臺北港,1057168,834317,113467,109384
201112,花蓮港,1017896,127180,110000,780716
201112,蘇澳港,483767,292809,107585,83373
201112,安平港,77244,19091,6938,51215
201201,國際商港,20137855,14272919,3479042,2385894
201201,高雄港,10275946,7293351,2269468,713127
201201,臺中港,5597751,4710555,440090,447106
201201,基隆港,1814266,1115615,348941,349710
201201,臺北港,1140264,873090,139467,127707
201201,花蓮港,861163,137459,126950,596754
201201,蘇澳港,345675,100367,139420,105888
201201,安平港,102790,42482,14706,45602
201202,國際商港,18929297,12795323,3804668,2329306
201202,高雄港,9790481,6625058,2438047,727376
201202,臺中港,5118009,4062143,558434,497432
201202,基隆港,1609635,867151,424769,317715
201202,臺北港,1107131,830446,152112,124573
201202,花蓮港,824445,178854,113500,532091
201202,蘇澳港,396824,184677,109624,102523
201202,安平港,82772,46994,8182,27596
201203,國際商港,20306151,13597261,4171201,2537689
201203,高雄港,10199690,6765638,2759912,674140
201203,臺中港,5166731,4266308,537823,362600
201203,基隆港,1899323,1077132,456056,366135
201203,花蓮港,1198962,302147,122950,773865
201203,臺北港,1186958,902981,163089,120888
201203,蘇澳港,558687,249702,116176,192809
201203,安平港,95800,33353,15195,47252
201204,國際商港,21553033,15112931,3886867,2553235
201204,高雄港,11259038,7903354,2606306,749378
201204,臺中港,5815774,4834976,514686,466112
201204,基隆港,1866758,1082260,442959,341539
201204,臺北港,1356171,1023491,185695,146985
201204,花蓮港,856325,133180,51000,672145
201204,蘇澳港,326029,114023,82500,129506
201204,安平港,72938,21647,3721,47570
201205,國際商港,20325694,13884587,4057643,2383464
201205,高雄港,10565794,7212205,2693659,659930
201205,臺中港,4717857,3749924,562020,405913
201205,基隆港,1947760,1203470,435628,308662
201205,臺北港,1481569,1127854,187586,166129
201205,花蓮港,1049251,303155,23000,723096
201205,蘇澳港,449380,231504,141740,76136
201205,安平港,114083,56475,14010,43598
201206,國際商港,19133312,13254214,3789068,2090030
201206,高雄港,9521670,6380691,2562797,578182
201206,臺中港,5350888,4443759,479855,427274
201206,基隆港,1823611,1134564,409472,279575
201206,臺北港,1227993,919169,176560,132264
201206,花蓮港,815909,157603,73000,585306
201206,蘇澳港,321893,184742,80454,56697
201206,安平港,71348,33686,6930,30732
201207,國際商港,21136245,15164567,3961106,2010572
201207,高雄港,10976602,7765952,2630994,579656
201207,臺中港,5516341,4580561,535493,400287
201207,基隆港,1979224,1281852,409431,287941
201207,臺北港,1385701,1047804,219831,118066
201207,花蓮港,772050,204596,81275,486179
201207,蘇澳港,392399,219190,70863,102346
201207,安平港,113928,64612,13219,36097
201208,國際商港,18991535,13635954,3742704,1612877
201208,高雄港,9468850,6630694,2543121,295035
201208,臺中港,5415886,4573807,496745,345334
201208,基隆港,1845533,1199049,393507,252977
201208,臺北港,1087269,776690,165828,144751
201208,花蓮港,788053,241407,50000,496646
201208,蘇澳港,305419,179864,82570,42985
201208,安平港,80525,34443,10933,35149
201209,國際商港,20667540,14328045,4204336,2135159
201209,高雄港,10407835,6938471,2806956,662408
201209,臺中港,5517566,4587806,582856,346904
201209,基隆港,1912863,1213984,400182,298697
201209,臺北港,1360831,1017029,174064,169738
201209,花蓮港,878650,225607,102900,550143
201209,蘇澳港,481094,284226,126130,70738
201209,安平港,108701,60922,11248,36531
201210,國際商港,20520897,14238503,3870832,2411562
201210,高雄港,10571187,7357773,2586978,626436
201210,臺中港,5349280,4311473,553658,484149
201210,基隆港,2009092,1279388,436626,293078
201210,臺北港,1309168,977691,178855,152622
201210,花蓮港,854661,102840,87460,664361
201210,蘇澳港,307407,160253,12805,134349
201210,安平港,120102,49085,14450,56567
201211,國際商港,17562105,11946966,3670588,1944551
201211,高雄港,8399725,5580209,2315463,504053
201211,臺中港,4731961,3747503,569228,415230
201211,基隆港,1779746,1123825,384889,271032
201211,臺北港,1156834,900090,156295,100449
201211,花蓮港,1029636,326268,180700,522668
201211,蘇澳港,373988,223775,59513,90700
201211,安平港,90215,45296,4500,40419
201212,國際商港,19652678,13954668,3896021,1801989
201212,高雄港,9319182,6286958,2539930,492294
201212,臺中港,5892970,4896312,563877,432781
201212,基隆港,1700063,1095466,410985,193612
201212,臺北港,1405094,1144756,157451,102887
201212,花蓮港,763605,123186,134450,505969
201212,蘇澳港,458235,347681,79370,31184
201212,安平港,113529,60309,9958,43262
201301,國際商港,21526365,15107957,4139744,2278664
201301,高雄港,10840209,7560013,2657233,622963
201301,臺中港,5446811,4443997,592906,409908
201301,基隆港,1859976,1192600,404262,263114
201301,臺北港,1583049,1285070,169765,128214
201301,花蓮港,1147121,296295,199000,651826
201301,蘇澳港,519534,259505,102720,157309
201301,安平港,129665,70477,13858,45330
201302,國際商港,16756430,11825167,3199019,1732244
201302,高雄港,8411375,5687586,2193764,530025
201302,臺中港,5107516,4333870,423184,350462
201302,基隆港,1229453,755175,256671,217607
201302,臺北港,869397,669614,133126,66657
201302,花蓮港,760640,159490,134900,466250
201302,蘇澳港,281153,158030,50593,72530
201302,安平港,96896,61402,6781,28713
201303,國際商港,21248331,14592134,4480395,2175802
201303,高雄港,10640003,7197109,3029142,413752
201303,臺中港,5753806,4675908,624146,453752
201303,基隆港,1900288,1163037,397839,339412
201303,臺北港,1486732,1224421,175600,86711
201303,花蓮港,920334,47520,164240,708574
201303,蘇澳港,431926,244887,72494,114545
201303,安平港,115242,39252,16934,59056
201304,國際商港,21982394,15828298,3913803,2240293
201304,高雄港,10671900,7699953,2576005,395942
201304,臺中港,6280212,5290411,517751,472050
201304,基隆港,1795757,1078011,374088,343658
201304,臺北港,1474163,1173024,154136,147003
201304,花蓮港,1207048,317877,162541,726630
201304,蘇澳港,472909,239681,119256,113972
201304,安平港,80405,29341,10026,41038
201305,國際商港,20632889,14350195,4276723,2005971
201305,高雄港,10118231,6914759,2867141,336331
201305,臺中港,5796909,4876673,551422,368814
201305,基隆港,1757439,1011130,423881,322428
201305,臺北港,1451837,1107696,191945,152196
201305,花蓮港,1081108,219732,146499,714877
201305,蘇澳港,335608,170200,83892,81516
201305,安平港,91757,50005,11943,29809
201306,國際商港,20958652,14382276,4522544,2053832
201306,高雄港,10181326,6698215,3155929,327182
201306,臺中港,5803994,4789915,630519,383560
201306,基隆港,1738169,1052032,423740,262397
201306,臺北港,1511862,1171532,164819,175511
201306,花蓮港,1201032,296751,113620,790661
201306,蘇澳港,425923,338996,18000,68927
201306,安平港,96346,34835,15917,45594
201307,國際商港,19985752,13539996,4000529,2445227
201307,高雄港,9287100,6192388,2647818,446894
201307,臺中港,5516442,4576080,536577,403785
201307,基隆港,1831652,1083437,384779,363436
201307,臺北港,1540871,1228992,161582,150297
201307,花蓮港,1139475,174250,214000,751225
201307,蘇澳港,373401,243391,47888,82122
201307,安平港,296811,41458,7885,247468
201308,國際商港,19429648,13143488,3928579,2357581
201308,高雄港,8976419,5817306,2614138,544975
201308,臺中港,5601271,4604039,571746,425486
201308,基隆港,1871564,1075352,398353,397859
201308,臺北港,1310404,1008296,162035,140073
201308,花蓮港,1095261,278840,85200,731221
201308,蘇澳港,472396,318459,90680,63257
201308,安平港,102333,41196,6427,54710
201309,國際商港,19814239,13856117,3625276,2332846
201309,高雄港,8832447,5993577,2326445,512425
201309,臺中港,5979195,4973824,590004,415367
201309,基隆港,1813981,1060493,374404,379084
201309,臺北港,1666948,1375946,143882,147120
201309,花蓮港,1049532,157491,133900,758141
201309,蘇澳港,380191,248582,52633,78976
201309,安平港,91945,46204,4008,41733
201310,國際商港,21368377,15277255,3726442,2364680
201310,高雄港,9649342,6551559,2393559,704224
201310,臺中港,6559058,5592234,571308,395516
201310,基隆港,1927527,1226295,415526,285706
201310,臺北港,1522127,1246131,167265,108731
201310,花蓮港,1144468,302720,123700,718048
201310,蘇澳港,458083,308064,48200,101819
201310,安平港,107772,50252,6884,50636
201311,國際商港,19843379,13600029,3826927,2416423
201311,高雄港,8553111,5647984,2339044,566083
201311,臺中港,6253813,5083322,623453,547038
201311,基隆港,1868482,1083647,462683,322152
201311,臺北港,1455936,1184742,167907,103287
201311,花蓮港,1230946,287475,168859,774612
201311,蘇澳港,394279,274445,53667,66167
201311,安平港,86812,38414,11314,37084
201312,國際商港,19919650,13580114,3786760,2552776
201312,高雄港,8872837,5868093,2412295,592449
201312,臺中港,5985096,4818193,639008,527895
201312,基隆港,1841831,1013416,394349,434066
201312,臺北港,1640739,1376451,161394,102894
201312,花蓮港,1091824,215541,110180,766103
201312,蘇澳港,382288,241882,60700,79706
201312,安平港,105035,46538,8834,49663
201401,國際商港,20453713,13931946,3785050,2736717
201401,高雄港,9520634,6313727,2594212,612695
201401,臺中港,5999097,4906255,555957,536885
201401,基隆港,1891379,1105838,357424,428117
201401,臺北港,1457456,1161639,155122,140695
201401,花蓮港,1149508,213870,69800,865838
201401,蘇澳港,316348,178662,38500,99186
201401,安平港,119291,51955,14035,53301
201402,國際商港,18892561,13456550,3438041,1997970
201402,高雄港,9359802,6628063,2225695,506044
201402,臺中港,5704856,4801400,563244,340212
201402,基隆港,1289134,678628,334827,275679
201402,臺北港,1093404,872634,117424,103346
201402,花蓮港,917524,152779,145700,619045
201402,蘇澳港,438552,268910,42700,126942
201402,安平港,89289,54136,8451,26702
201403,國際商港,23641068,16333061,4414755,2893252
201403,高雄港,11258194,7617752,2923022,717420
201403,臺中港,6916642,5832662,623313,460667
201403,基隆港,2000280,1076552,453015,470713
201403,臺北港,1676242,1319298,153442,203502
201403,花蓮港,1320540,268343,167230,884967
201403,蘇澳港,369138,185507,83554,100077
201403,安平港,100032,32947,11179,55906
201404,國際商港,21851496,14885855,4314817,2650824
201404,高雄港,10349022,6861978,2845277,641767
201404,臺中港,6190895,4999218,656081,535596
201404,基隆港,1940480,1131999,386338,422143
201404,臺北港,1732608,1422074,181927,128607
